age	male	risk_cons	risk_cons_uci	risk_cons_lci	risk_respiratory	risk_respiratory_uci	risk_respiratory_lci	risk_cf	risk_cf_uci	risk_cf_lci	risk_asthmacat_2	risk_asthmacat_2_uci	risk_asthmacat_2_lci	risk_asthmacat_3	risk_asthmacat_3_uci	risk_asthmacat_3_lci	risk_cardiac	risk_cardiac_uci	risk_cardiac_lci	risk_diabcat_2	risk_diabcat_2_uci	risk_diabcat_2_lci	risk_diabcat_3	risk_diabcat_3_uci	risk_diabcat_3_lci	risk_diabcat_4	risk_diabcat_4_uci	risk_diabcat_4_lci	risk_hypertension	risk_hypertension_uci	risk_hypertension_lci	risk_af	risk_af_uci	risk_af_lci	risk_dvt_pe	risk_dvt_pe_uci	risk_dvt_pe_lci	risk_pad	risk_pad_uci	risk_pad_lci	risk_cancerExhaem_2	risk_cancerExhaem_2_uci	risk_cancerExhaem_2_lci	risk_cancerExhaem_3	risk_cancerExhaem_3_uci	risk_cancerExhaem_3_lci	risk_cancerExhaem_4	risk_cancerExhaem_4_uci	risk_cancerExhaem_4_lci	risk_cancerHaem_2	risk_cancerHaem_2_uci	risk_cancerHaem_2_lci	risk_cancerHaem_3	risk_cancerHaem_3_uci	risk_cancerHaem_3_lci	risk_cancerHaem_4	risk_cancerHaem_4_uci	risk_cancerHaem_4_lci	risk_liver	risk_liver_uci	risk_liver_lci	risk_stroke	risk_stroke_uci	risk_stroke_lci	risk_dementia	risk_dementia_uci	risk_dementia_lci	risk_tia	risk_tia_uci	risk_tia_lci	risk_neuro	risk_neuro_uci	risk_neuro_lci	risk_kidneyfn_2	risk_kidneyfn_2_uci	risk_kidneyfn_2_lci	risk_kidneyfn_3	risk_kidneyfn_3_uci	risk_kidneyfn_3_lci	risk_transplant	risk_transplant_uci	risk_transplant_lci	risk_dialysis	risk_dialysis_uci	risk_dialysis_lci	risk_spleen	risk_spleen_uci	risk_spleen_lci	risk_autoimmune	risk_autoimmune_uci	risk_autoimmune_lci	risk_ibd	risk_ibd_uci	risk_ibd_lci	risk_immunosuppression	risk_immunosuppression_uci	risk_immunosuppression_lci	risk_smi	risk_smi_uci	risk_smi_lci	risk_ldr	risk_ldr_uci	risk_ldr_lci	risk_ds	risk_ds_uci	risk_ds_lci	p50	p70	p80	p90
18	1	.0001311	.0001918	.0000896	.0002938	.0004585	.0001882	.0001512	.0006425	.0000356	.0001446	.0002131	.0000981	.0002739	.0004565	.0001643	.0001871	.000286	.0001223	.0002187	.0003327	.0001438	.0003903	.0005897	.0002584	.000378	.0005847	.0002444	.0001769	.0002641	.0001186	.0001836	.0002945	.0001144	.0003084	.0004807	.0001979	.00027	.0004838	.0001506	.0008154	.0015097	.0004403	.0002219	.0004496	.0001096	.0001594	.0003051	.0000833	.0016576	.0033892	.0008103	.0004764	.0010992	.0002065	.0002443	.0004936	.0001209	.0003596	.0005673	.0002279	.0002034	.0003431	.0001206	.00016	.0004179	.0000613	.0001376	.000267	.0000709	.0003575	.0005741	.0002226	.0002308	.0003967	.0001342	.0008783	.0015636	.0004933	.0000893	.0001693	.0000471	.0001789	.000341	.0000938	.0004632	.0008378	.0002561	.000167	.000255	.0001093	.0002327	.0003728	.0001453	.000663	.0012214	.0003599	.0002339	.0003638	.0001504	.0003656	.000564	.0002369	.000326	.0006202	.0001714	.0002993	.0004648	.0006457	.0010544
19	1	.0001392	.0002021	.0000958	.000312	.0004838	.0002012	.0001605	.0006809	.0000378	.0001535	.0002246	.0001049	.0002908	.000482	.0001755	.0001986	.0003017	.0001308	.0002323	.0003508	.0001538	.0004145	.0006217	.0002763	.0004014	.0006168	.0002612	.0001879	.0002784	.0001268	.000195	.0003108	.0001223	.0003275	.0005071	.0002115	.0002867	.0005112	.0001608	.0008658	.0015954	.0004697	.0002357	.0004755	.0001168	.0001693	.0003225	.0000889	.00176	.0035842	.0008639	.0005059	.0011631	.0002199	.0002594	.000522	.0001289	.0003818	.0005985	.0002436	.000216	.0003623	.0001287	.0001699	.0004424	.0000653	.0001461	.0002823	.0000756	.0003796	.0006058	.0002378	.000245	.000419	.0001433	.0009326	.0016519	.0005264	.0000949	.000179	.0000503	.0001899	.0003605	.0001001	.0004918	.0008852	.0002732	.0001773	.0002689	.0001169	.0002471	.0003934	.0001553	.000704	.0012909	.0003839	.0002484	.0003837	.0001608	.0003882	.0005951	.0002532	.0003462	.0006555	.0001828	.0002993	.0004648	.0006457	.0010544
20	1	.0001478	.0002131	.0001025	.0003313	.0005108	.0002148	.0001705	.0007218	.0000402	.000163	.000237	.0001122	.0003088	.0005092	.0001873	.0002109	.0003185	.0001397	.0002466	.0003702	.0001643	.0004401	.000656	.0002952	.0004262	.000651	.0002791	.0001995	.0002937	.0001355	.000207	.0003282	.0001306	.0003477	.0005352	.0002259	.0003044	.0005404	.0001715	.0009193	.0016869	.0005009	.0002502	.000503	.0001245	.0001798	.0003411	.0000948	.0018688	.003792	.0009205	.0005371	.0012313	.0002343	.0002755	.0005522	.0001374	.0004054	.0006319	.0002601	.0002293	.0003828	.0001374	.0001805	.0004686	.0000695	.0001552	.0002986	.0000806	.0004031	.0006397	.000254	.0002602	.0004428	.0001529	.0009903	.001746	.0005615	.0001007	.0001893	.0000536	.0002017	.0003812	.0001067	.0005222	.0009359	.0002913	.0001883	.0002837	.0001249	.0002624	.0004154	.0001658	.0007476	.001365	.0004094	.0002637	.000405	.0001717	.0004122	.0006282	.0002704	.0003676	.0006931	.000195	.0002993	.0004648	.0006457	.0010544
21	1	.0001569	.0002249	.0001095	.0003517	.0005396	.0002293	.000181	.0007653	.0000428	.0001731	.0002502	.0001198	.0003279	.0005383	.0001997	.000224	.0003363	.0001491	.0002619	.0003909	.0001754	.0004673	.0006927	.0003152	.0004526	.0006877	.0002979	.0002118	.0003101	.0001447	.0002198	.0003468	.0001393	.0003692	.0005654	.0002412	.0003232	.0005715	.0001828	.0009762	.0017844	.0005339	.0002657	.0005324	.0001326	.0001909	.0003608	.000101	.0019843	.0040135	.0009806	.0005704	.0013039	.0002494	.0002925	.0005845	.0001463	.0004305	.0006675	.0002776	.0002435	.0004047	.0001465	.0001916	.0004964	.000074	.0001648	.000316	.0000859	.000428	.0006759	.000271	.0002763	.0004682	.000163	.0010515	.0018465	.0005987	.000107	.0002003	.0000572	.0002142	.0004034	.0001137	.0005545	.00099	.0003106	.0001999	.0002996	.0001334	.0002787	.0004389	.0001769	.0007938	.0014441	.0004362	.00028	.0004277	.0001833	.0004377	.0006636	.0002887	.0003904	.0007333	.0002078	.0002993	.0004648	.0006457	.0010544
22	1	.0001667	.0002376	.0001169	.0003735	.0005704	.0002446	.0001922	.0008116	.0000455	.0001838	.0002643	.0001279	.0003482	.0005694	.0002129	.0002378	.0003555	.0001591	.0002781	.0004131	.0001872	.0004962	.0007319	.0003364	.0004806	.0007268	.0003178	.0002249	.0003276	.0001544	.0002334	.0003667	.0001486	.0003921	.0005975	.0002573	.0003432	.0006049	.0001947	.0010365	.0018885	.0005688	.0002822	.0005637	.0001412	.0002027	.000382	.0001076	.0021069	.0042498	.001044	.0006056	.0013812	.0002655	.0003106	.0006189	.0001559	.0004571	.0007057	.0002961	.0002586	.0004281	.0001562	.0002035	.0005261	.0000787	.000175	.0003345	.0000915	.0004545	.0007145	.000289	.0002934	.0004953	.0001737	.0011165	.0019537	.0006379	.0001136	.000212	.0000609	.0002274	.0004271	.0001211	.0005888	.0010477	.0003309	.0002123	.0003166	.0001423	.0002959	.000464	.0001886	.0008429	.0015286	.0004647	.0002973	.0004521	.0001956	.0004647	.0007015	.0003079	.0004145	.0007761	.0002214	.0002993	.0004648	.0006457	.0010544
23	1	.000177	.0002511	.0001247	.0003966	.0006034	.0002607	.0002041	.0008608	.0000484	.0001952	.0002794	.0001363	.0003697	.0006026	.0002268	.0002525	.000376	.0001696	.0002953	.0004368	.0001996	.0005269	.0007739	.0003588	.0005103	.0007687	.0003388	.0002388	.0003464	.0001647	.0002478	.000388	.0001583	.0004163	.000632	.0002742	.0003645	.0006405	.0002074	.0011006	.0019997	.0006056	.0002996	.0005972	.0001503	.0002152	.0004045	.0001145	.0022371	.0045019	.001111	.0006431	.0014637	.0002825	.0003298	.0006556	.0001659	.0004854	.0007465	.0003157	.0002746	.0004531	.0001664	.000216	.0005578	.0000837	.0001858	.0003543	.0000975	.0004826	.000756	.000308	.0003115	.0005243	.0001851	.0011855	.0020683	.0006794	.0001206	.0002245	.0000648	.0002415	.0004523	.0001289	.0006252	.0011093	.0003524	.0002254	.0003348	.0001518	.0003142	.0004909	.000201	.000895	.0016188	.0004947	.0003157	.0004781	.0002085	.0004935	.0007421	.0003281	.0004401	.0008218	.0002357	.0002993	.0004648	.0006457	.0010544
24	1	.0001879	.0002657	.0001329	.0004211	.0006388	.0002776	.0002167	.0009133	.0000514	.0002073	.0002957	.0001453	.0003926	.0006382	.0002415	.0002682	.000398	.0001807	.0003135	.0004624	.0002126	.0005595	.000819	.0003822	.0005419	.0008137	.0003608	.0002536	.0003665	.0001755	.0002632	.0004108	.0001686	.0004421	.0006691	.0002921	.000387	.0006785	.0002207	.0011687	.0021186	.0006446	.0003182	.0006329	.0001599	.0002286	.0004287	.0001219	.0023754	.0047712	.0011819	.0006829	.0015518	.0003004	.0003502	.0006948	.0001765	.0005155	.0007902	.0003362	.0002916	.0004799	.0001771	.0002294	.0005915	.000089	.0001973	.0003754	.0001037	.0005124	.0008003	.0003281	.0003308	.0005553	.0001971	.0012589	.0021909	.0007232	.0001281	.0002379	.000069	.0002564	.0004793	.0001372	.0006639	.0011752	.000375	.0002394	.0003543	.0001617	.0003336	.0005198	.0002142	.0009504	.0017153	.0005264	.0003353	.000506	.0002221	.000524	.0007856	.0003495	.0004674	.0008706	.0002509	.0002993	.0004648	.0006457	.0010544
25	1	.0001996	.0002813	.0001416	.0004472	.0006769	.0002955	.0002302	.0009693	.0000547	.0002201	.0003132	.0001547	.0004169	.0006764	.000257	.0002848	.0004217	.0001923	.000333	.0004897	.0002264	.0005942	.0008674	.000407	.0005755	.0008621	.0003842	.0002693	.0003881	.0001869	.0002795	.0004353	.0001795	.0004695	.0007088	.000311	.000411	.0007192	.0002348	.0012411	.0022459	.0006857	.0003379	.0006711	.0001701	.0002427	.0004545	.0001296	.0025225	.0050592	.0012569	.0007252	.0016459	.0003194	.0003719	.0007367	.0001877	.0005474	.0008372	.0003579	.0003096	.0005087	.0001885	.0002436	.0006276	.0000946	.0002095	.0003981	.0001103	.0005442	.0008479	.0003492	.0003513	.0005887	.0002096	.0013368	.0023223	.0007694	.000136	.0002522	.0000734	.0002723	.0005082	.0001459	.000705	.0012459	.0003989	.0002542	.0003753	.0001721	.0003543	.0005507	.0002279	.0010092	.0018186	.0005599	.0003561	.000536	.0002365	.0005565	.0008324	.000372	.0004963	.0009229	.0002669	.0002993	.0004648	.0006457	.0010544
26	1	.000212	.0002982	.0001506	.000475	.0007178	.0003143	.0002445	.001029	.0000581	.0002338	.0003321	.0001646	.0004428	.0007173	.0002733	.0003025	.0004472	.0002046	.0003536	.0005192	.0002409	.000631	.0009196	.000433	.0006112	.000914	.0004087	.0002861	.0004115	.0001988	.0002968	.0004616	.0001909	.0004986	.0007515	.0003308	.0004365	.0007629	.0002497	.0013181	.0023822	.0007291	.0003588	.000712	.0001808	.0002578	.0004821	.0001379	.0026788	.0053673	.0013361	.0007702	.0017465	.0003396	.000395	.0007816	.0001996	.0005814	.0008877	.0003807	.0003288	.0005395	.0002005	.0002588	.0006661	.0001005	.0002225	.0004223	.0001172	.0005779	.0008991	.0003715	.0003731	.0006244	.0002229	.0014198	.002463	.0008182	.0001445	.0002675	.000078	.0002892	.0005392	.0001551	.0007488	.0013216	.0004242	.00027	.0003978	.0001832	.0003763	.0005839	.0002425	.0010718	.0019293	.0005953	.0003782	.0005683	.0002517	.000591	.0008827	.0003957	.0005271	.0009789	.0002838	.0002993	.0004648	.0006457	.0010544
27	1	.0002251	.0003164	.0001602	.0005045	.0007617	.0003341	.0002597	.0010928	.0000617	.0002483	.0003524	.000175	.0004703	.0007613	.0002905	.0003213	.0004745	.0002175	.0003756	.0005509	.0002561	.0006703	.0009757	.0004604	.0006492	.0009698	.0004346	.0003039	.0004366	.0002115	.0003153	.0004898	.000203	.0005296	.0007974	.0003517	.0004636	.0008098	.0002654	.0014	.0025284	.000775	.0003812	.0007558	.0001922	.0002738	.0005118	.0001465	.0028453	.0056972	.00142	.0008181	.0018542	.0003608	.0004196	.0008297	.0002121	.0006175	.0009419	.0004048	.0003493	.0005726	.0002131	.0002749	.0007072	.0001068	.0002364	.0004483	.0001246	.0006139	.000954	.000395	.0003963	.0006626	.000237	.001508	.002614	.0008698	.0001535	.000284	.0000829	.0003072	.0005724	.0001649	.0007954	.0014027	.000451	.0002868	.0004221	.0001948	.0003997	.0006196	.0002578	.0011385	.002048	.0006328	.0004017	.000603	.0002676	.0006278	.0009369	.0004206	.0005599	.0010389	.0003017	.0002993	.0004648	.0006457	.0010544
