wave	outcome	exposure	expcat	child	p25	p50	p75	total
1	"covidadmission"	"ldr"	0	0	.5037646	.5037646	.5037646	7133803
1	"covidadmission"	"ldr"	0	1	.5037646	.5037646	.5037646	1318599
1	"covidadmission"	"ldr"	1	0	.5037646	.5037646	.5037646	45126.13
1	"covidadmission"	"ldr"	1	1	.5037646	.5037646	.5037646	4681.383
1	"covidadmission"	"ldr_cat"	0	0	.5037646	.5037646	.5037646	7133803
1	"covidadmission"	"ldr_cat"	0	1	.5037646	.5037646	.5037646	1318599
1	"covidadmission"	"ldr_cat"	1	0	.5037646	.5037646	.5037646	37070.06
1	"covidadmission"	"ldr_cat"	1	1	.5037646	.5037646	.5037646	3983.162
1	"covidadmission"	"ldr_cat"	2	0	.5037646	.5037646	.5037646	8056.069
1	"covidadmission"	"ldr_cat"	2	1	.5037646	.5037646	.5037646	698.2205
1	"covidadmission"	"ldr_carecat"	0	0	.5037646	.5037646	.5037646	7133803
1	"covidadmission"	"ldr_carecat"	0	1	.5037646	.5037646	.5037646	1318599
1	"covidadmission"	"ldr_carecat"	1	0	.5037646	.5037646	.5037646	41141.23
1	"covidadmission"	"ldr_carecat"	1	1	.5037646	.5037646	.5037646	4649.646
1	"covidadmission"	"ldr_carecat"	2	0	.5037646	.5037646	.5037646	3984.901
1	"covidadmission"	"ldr_carecat"	2	1	.5037646	.5037646	.5037646	31.73717
1	"covidadmission"	"ds"	0	0	.5037646	.5037646	.5037646	7174961
1	"covidadmission"	"ds"	0	1	.5037646	.5037646	.5037646	1321953
1	"covidadmission"	"ds"	1	0	.5037646	.5037646	.5037646	3968.249
1	"covidadmission"	"ds"	1	1	.5037646	.5037646	.5037646	1326.886
1	"covidadmission"	"cp"	0	0	.5037646	.5037646	.5037646	7169773
1	"covidadmission"	"cp"	0	1	.5037646	.5037646	.5037646	1320951
1	"covidadmission"	"cp"	1	0	.5037646	.5037646	.5037646	9156
1	"covidadmission"	"cp"	1	1	.5037646	.5037646	.5037646	2328.896
1	"covidadmission"	"ldr_group"	0	0	.5037646	.5037646	.5037646	7127684
1	"covidadmission"	"ldr_group"	0	1	.5037646	.5037646	.5037646	1315658
1	"covidadmission"	"ldr_group"	1	0	.5037646	.5037646	.5037646	431.7043
1	"covidadmission"	"ldr_group"	1	1	.5037646	.5037646	.5037646	867.3922
1	"covidadmission"	"ldr_group"	2	0	.5037646	.5037646	.5037646	3518.582
1	"covidadmission"	"ldr_group"	2	1	.5037646	.5037646	.5037646	456.9747
1	"covidadmission"	"ldr_group"	3	0	.5037646	.5037646	.5037646	5687.434
1	"covidadmission"	"ldr_group"	3	1	.5037646	.5037646	.5037646	2072.791
1	"covidadmission"	"ldr_group"	4	0	.5037646	.5037646	.5037646	3468.567
1	"covidadmission"	"ldr_group"	4	1	.5037646	.5037646	.5037646	256.1041
1	"covidadmission"	"ldr_group"	5	0	.5037646	.5037646	.5037646	38138.98
1	"covidadmission"	"ldr_group"	5	1	.5037646	.5037646	.5037646	3968.304
1	"coviddeath"	"ldr"	0	0	.5037646	.5037646	.5037646	7140988
1	"coviddeath"	"ldr"	0	1	.5037646	.5037646	.5037646	1318689
1	"coviddeath"	"ldr"	1	0	.5037646	.5037646	.5037646	45256.6
1	"coviddeath"	"ldr"	1	1	.5037646	.5037646	.5037646	4682.754
1	"coviddeath"	"ldr_cat"	0	0	.5037646	.5037646	.5037646	7140988
1	"coviddeath"	"ldr_cat"	0	1	.5037646	.5037646	.5037646	1318689
1	"coviddeath"	"ldr_cat"	1	0	.5037646	.5037646	.5037646	37166.61
1	"coviddeath"	"ldr_cat"	1	1	.5037646	.5037646	.5037646	3984.197
1	"coviddeath"	"ldr_cat"	2	0	.5037646	.5037646	.5037646	8089.985
1	"coviddeath"	"ldr_cat"	2	1	.5037646	.5037646	.5037646	698.5572
1	"coviddeath"	"ldr_carecat"	0	0	.5037646	.5037646	.5037646	7140988
1	"coviddeath"	"ldr_carecat"	0	1	.5037646	.5037646	.5037646	1318689
1	"coviddeath"	"ldr_carecat"	1	0	.5037646	.5037646	.5037646	41248.97
1	"coviddeath"	"ldr_carecat"	1	1	.5037646	.5037646	.5037646	4651.018
1	"coviddeath"	"ldr_carecat"	2	0	.5037646	.5037646	.5037646	4007.622
1	"coviddeath"	"ldr_carecat"	2	1	.5037646	.5037646	.5037646	31.73717
1	"coviddeath"	"ds"	0	0	.5037646	.5037646	.5037646	7182261
1	"coviddeath"	"ds"	0	1	.5037646	.5037646	.5037646	1322044
1	"coviddeath"	"ds"	1	0	.5037646	.5037646	.5037646	3983.195
1	"coviddeath"	"ds"	1	1	.5037646	.5037646	.5037646	1327.734
1	"coviddeath"	"cp"	0	0	.5037646	.5037646	.5037646	7177063
1	"coviddeath"	"cp"	0	1	.5037646	.5037646	.5037646	1321042
1	"coviddeath"	"cp"	1	0	.5037646	.5037646	.5037646	9181.479
1	"coviddeath"	"cp"	1	1	.5037646	.5037646	.5037646	2330.215
1	"coviddeath"	"ldr_group"	0	0	.5037646	.5037646	.5037646	7134858
1	"coviddeath"	"ldr_group"	0	1	.5037646	.5037646	.5037646	1315747
1	"coviddeath"	"ldr_group"	1	0	.5037646	.5037646	.5037646	432.1369
1	"coviddeath"	"ldr_group"	1	1	.5037646	.5037646	.5037646	867.7974
1	"coviddeath"	"ldr_group"	2	0	.5037646	.5037646	.5037646	3533.087
1	"coviddeath"	"ldr_group"	2	1	.5037646	.5037646	.5037646	457.4182
1	"coviddeath"	"ldr_group"	3	0	.5037646	.5037646	.5037646	5697.613
1	"coviddeath"	"ldr_group"	3	1	.5037646	.5037646	.5037646	2074.1
1	"coviddeath"	"ldr_group"	4	0	.5037646	.5037646	.5037646	3483.866
1	"coviddeath"	"ldr_group"	4	1	.5037646	.5037646	.5037646	256.115
1	"coviddeath"	"ldr_group"	5	0	.5037646	.5037646	.5037646	38239.64
1	"coviddeath"	"ldr_group"	5	1	.5037646	.5037646	.5037646	3969.221
2	"covidadmission"	"ldr"	0	0	.440794	.440794	.440794	6262945
2	"covidadmission"	"ldr"	0	1	.440794	.440794	.440794	1137827
2	"covidadmission"	"ldr"	1	0	.440794	.440794	.440794	40002.14
2	"covidadmission"	"ldr"	1	1	.440794	.440794	.440794	4151.814
2	"covidadmission"	"ldr_cat"	0	0	.440794	.440794	.440794	6262945
2	"covidadmission"	"ldr_cat"	0	1	.440794	.440794	.440794	1137827
2	"covidadmission"	"ldr_cat"	1	0	.440794	.440794	.440794	32856.16
2	"covidadmission"	"ldr_cat"	1	1	.440794	.440794	.440794	3542.114
2	"covidadmission"	"ldr_cat"	2	0	.440794	.440794	.440794	7145.974
2	"covidadmission"	"ldr_cat"	2	1	.440794	.440794	.440794	609.7002
2	"covidadmission"	"ldr_carecat"	0	0	.440794	.440794	.440794	6262945
2	"covidadmission"	"ldr_carecat"	0	1	.440794	.440794	.440794	1137827
2	"covidadmission"	"ldr_carecat"	1	0	.440794	.440794	.440794	36636.84
2	"covidadmission"	"ldr_carecat"	1	1	.440794	.440794	.440794	4130.215
2	"covidadmission"	"ldr_carecat"	2	0	.440794	.440794	.440794	3365.292
2	"covidadmission"	"ldr_carecat"	2	1	.440794	.440794	.440794	21.59891
2	"covidadmission"	"ds"	0	0	.440794	.440794	.440794	6299465
2	"covidadmission"	"ds"	0	1	.440794	.440794	.440794	1140842
2	"covidadmission"	"ds"	1	0	.440794	.440794	.440794	3482.311
2	"covidadmission"	"ds"	1	1	.440794	.440794	.440794	1136.145
2	"covidadmission"	"cp"	0	0	.440794	.440794	.440794	6294857
2	"covidadmission"	"cp"	0	1	.440794	.440794	.440794	1139982
2	"covidadmission"	"cp"	1	0	.440794	.440794	.440794	8090.349
2	"covidadmission"	"cp"	1	1	.440794	.440794	.440794	1996.255
2	"covidadmission"	"ldr_group"	0	0	.440794	.440794	.440794	6257548
2	"covidadmission"	"ldr_group"	0	1	.440794	.440794	.440794	1135328
2	"covidadmission"	"ldr_group"	1	0	.440794	.440794	.440794	377.5414
2	"covidadmission"	"ldr_group"	1	1	.440794	.440794	.440794	734.8884
2	"covidadmission"	"ldr_group"	2	0	.440794	.440794	.440794	3089.851
2	"covidadmission"	"ldr_group"	2	1	.440794	.440794	.440794	399.0527
2	"covidadmission"	"ldr_group"	3	0	.440794	.440794	.440794	5019.587
2	"covidadmission"	"ldr_group"	3	1	.440794	.440794	.440794	1763.814
2	"covidadmission"	"ldr_group"	4	0	.440794	.440794	.440794	3070.763
2	"covidadmission"	"ldr_group"	4	1	.440794	.440794	.440794	232.4408
2	"covidadmission"	"ldr_group"	5	0	.440794	.440794	.440794	33841.52
2	"covidadmission"	"ldr_group"	5	1	.440794	.440794	.440794	3520.321
2	"coviddeath"	"ldr"	0	0	.440794	.440794	.440794	6270857
2	"coviddeath"	"ldr"	0	1	.440794	.440794	.440794	1137910
2	"coviddeath"	"ldr"	1	0	.440794	.440794	.440794	40120.6
2	"coviddeath"	"ldr"	1	1	.440794	.440794	.440794	4154.757
