wave	outcome	exposure	expcat	child	p25	p50	p75	total
2	"coviddeath"	"ldr_cat"	0	0	.440794	.440794	.440794	6270857
2	"coviddeath"	"ldr_cat"	0	1	.440794	.440794	.440794	1137910
2	"coviddeath"	"ldr_cat"	1	0	.440794	.440794	.440794	32943.13
2	"coviddeath"	"ldr_cat"	1	1	.440794	.440794	.440794	3544.501
2	"coviddeath"	"ldr_cat"	2	0	.440794	.440794	.440794	7177.473
2	"coviddeath"	"ldr_cat"	2	1	.440794	.440794	.440794	610.256
2	"coviddeath"	"ldr_carecat"	0	0	.440794	.440794	.440794	6270857
2	"coviddeath"	"ldr_carecat"	0	1	.440794	.440794	.440794	1137910
2	"coviddeath"	"ldr_carecat"	1	0	.440794	.440794	.440794	36735.43
2	"coviddeath"	"ldr_carecat"	1	1	.440794	.440794	.440794	4133.158
2	"coviddeath"	"ldr_carecat"	2	0	.440794	.440794	.440794	3385.172
2	"coviddeath"	"ldr_carecat"	2	1	.440794	.440794	.440794	21.59891
2	"coviddeath"	"ds"	0	0	.440794	.440794	.440794	6307480
2	"coviddeath"	"ds"	0	1	.440794	.440794	.440794	1140929
2	"coviddeath"	"ds"	1	0	.440794	.440794	.440794	3497.708
2	"coviddeath"	"ds"	1	1	.440794	.440794	.440794	1136.652
2	"coviddeath"	"cp"	0	0	.440794	.440794	.440794	6302862
2	"coviddeath"	"cp"	0	1	.440794	.440794	.440794	1140067
2	"coviddeath"	"cp"	1	0	.440794	.440794	.440794	8115.708
2	"coviddeath"	"cp"	1	1	.440794	.440794	.440794	1998.146
2	"coviddeath"	"ldr_group"	0	0	.440794	.440794	.440794	6265448
2	"coviddeath"	"ldr_group"	0	1	.440794	.440794	.440794	1135410
2	"coviddeath"	"ldr_group"	1	0	.440794	.440794	.440794	378.2012
2	"coviddeath"	"ldr_group"	1	1	.440794	.440794	.440794	735.05
2	"coviddeath"	"ldr_group"	2	0	.440794	.440794	.440794	3104.156
2	"coviddeath"	"ldr_group"	2	1	.440794	.440794	.440794	399.3977
2	"coviddeath"	"ldr_group"	3	0	.440794	.440794	.440794	5031.204
2	"coviddeath"	"ldr_group"	3	1	.440794	.440794	.440794	1764.98
2	"coviddeath"	"ldr_group"	4	0	.440794	.440794	.440794	3084.504
2	"coviddeath"	"ldr_group"	4	1	.440794	.440794	.440794	233.1663
2	"coviddeath"	"ldr_group"	5	0	.440794	.440794	.440794	33931.94
2	"coviddeath"	"ldr_group"	5	1	.440794	.440794	.440794	3522.193
