age	male	risk_cons	risk_cons_uci	risk_cons_lci	risk_respiratory	risk_respiratory_uci	risk_respiratory_lci	risk_cf	risk_cf_uci	risk_cf_lci	risk_asthmacat_2	risk_asthmacat_2_uci	risk_asthmacat_2_lci	risk_asthmacat_3	risk_asthmacat_3_uci	risk_asthmacat_3_lci	risk_cardiac	risk_cardiac_uci	risk_cardiac_lci	risk_diabcat_2	risk_diabcat_2_uci	risk_diabcat_2_lci	risk_diabcat_3	risk_diabcat_3_uci	risk_diabcat_3_lci	risk_diabcat_4	risk_diabcat_4_uci	risk_diabcat_4_lci	risk_hypertension	risk_hypertension_uci	risk_hypertension_lci	risk_af	risk_af_uci	risk_af_lci	risk_dvt_pe	risk_dvt_pe_uci	risk_dvt_pe_lci	risk_pad	risk_pad_uci	risk_pad_lci	risk_cancerExhaem_2	risk_cancerExhaem_2_uci	risk_cancerExhaem_2_lci	risk_cancerExhaem_3	risk_cancerExhaem_3_uci	risk_cancerExhaem_3_lci	risk_cancerExhaem_4	risk_cancerExhaem_4_uci	risk_cancerExhaem_4_lci	risk_cancerHaem_2	risk_cancerHaem_2_uci	risk_cancerHaem_2_lci	risk_cancerHaem_3	risk_cancerHaem_3_uci	risk_cancerHaem_3_lci	risk_cancerHaem_4	risk_cancerHaem_4_uci	risk_cancerHaem_4_lci	risk_liver	risk_liver_uci	risk_liver_lci	risk_stroke	risk_stroke_uci	risk_stroke_lci	risk_dementia	risk_dementia_uci	risk_dementia_lci	risk_tia	risk_tia_uci	risk_tia_lci	risk_neuro	risk_neuro_uci	risk_neuro_lci	risk_kidneyfn_2	risk_kidneyfn_2_uci	risk_kidneyfn_2_lci	risk_kidneyfn_3	risk_kidneyfn_3_uci	risk_kidneyfn_3_lci	risk_transplant	risk_transplant_uci	risk_transplant_lci	risk_dialysis	risk_dialysis_uci	risk_dialysis_lci	risk_spleen	risk_spleen_uci	risk_spleen_lci	risk_autoimmune	risk_autoimmune_uci	risk_autoimmune_lci	risk_ibd	risk_ibd_uci	risk_ibd_lci	risk_immunosuppression	risk_immunosuppression_uci	risk_immunosuppression_lci	risk_smi	risk_smi_uci	risk_smi_lci	risk_ldr	risk_ldr_uci	risk_ldr_lci	risk_ds	risk_ds_uci	risk_ds_lci	p50	p70	p80	p90
18	1	2.63e-06	.0000174	4.17e-07	6.07e-06	.0000456	8.34e-07	4.66e-15		0	1.91e-06	.0000131	2.98e-07	4.28e-06	.0000405	4.77e-07	3.88e-06	.0000279	5.36e-07	7.05e-06	.0000502	1.01e-06	9.12e-06	.0000654	1.25e-06	.0000135	.0000979	1.85e-06	3.09e-06	.0000215	4.17e-07	2.82e-06	.0000241	3.58e-07	8.14e-06	.0000595	1.13e-06	8.37e-06	.0000719	9.54e-07	.000056	.0004563	6.85e-06	.0000148	.0001351	1.61e-06	.0000136	.00011	1.67e-06	.0000509	.0005637	4.59e-06	.0000284	.0003063	2.62e-06	.0000102	.0001066	9.54e-07	9.53e-06	.0000713	1.25e-06	7.82e-06	.0000621	1.01e-06	.0000242	.0001996	2.92e-06	1.93e-06	.0000219	1.79e-07	7.81e-06	.000061	1.01e-06	6.63e-06	.0000564	7.75e-07	.0000318	.0002847	3.58e-06	7.75e-07	9.54e-06	5.96e-08	2.60e-06	.0000275	2.38e-07	3.22e-15		0	1.89e-06	.0000148	2.38e-07	4.91e-06	.0000411	5.96e-07	.0000147	.0001566	1.37e-06	3.95e-06	.0000309	4.77e-07	.0000133	.0000955	1.85e-06	.0000146	.0001274	1.67e-06	9.55e-06	.0000223	.0000352	.0000663
19	1	3.11e-06	.0000185	5.36e-07	7.17e-06	.0000489	1.07e-06	5.44e-15		0	2.26e-06	.000014	3.58e-07	5.06e-06	.0000438	5.96e-07	4.58e-06	.0000299	7.15e-07	8.33e-06	.0000538	1.31e-06	.0000108	.0000699	1.67e-06	.0000159	.0001048	2.38e-06	3.66e-06	.0000229	5.96e-07	3.33e-06	.000026	4.17e-07	9.61e-06	.0000638	1.43e-06	9.89e-06	.0000776	1.25e-06	.0000661	.0004908	8.88e-06	.0000175	.0001461	2.09e-06	.000016	.0001183	2.21e-06	.0000601	.0006144	5.90e-06	.0000336	.0003334	3.40e-06	.000012	.0001158	1.25e-06	.0000113	.0000764	1.67e-06	9.24e-06	.0000668	1.25e-06	.0000286	.0002151	3.81e-06	2.28e-06	.0000239	2.38e-07	9.22e-06	.0000654	1.31e-06	7.83e-06	.0000608	1.01e-06	.0000376	.0003076	4.59e-06	9.15e-07	.0000104	5.96e-08	3.07e-06	.0000299	2.98e-07	3.77e-15		0	2.23e-06	.0000159	2.98e-07	5.80e-06	.0000442	7.75e-07	.0000173	.0001704	1.79e-06	4.67e-06	.0000333	6.56e-07	.0000158	.0001022	2.44e-06	.0000172	.0001374	2.15e-06	9.55e-06	.0000223	.0000352	.0000663
20	1	3.68e-06	.0000198	6.56e-07	8.47e-06	.0000526	1.37e-06	6.44e-15		0	2.67e-06	.000015	4.77e-07	5.97e-06	.0000477	7.75e-07	5.41e-06	.0000321	8.94e-07	9.84e-06	.0000576	1.67e-06	.0000127	.000075	2.15e-06	.0000188	.0001126	3.16e-06	4.32e-06	.0000246	7.75e-07	3.94e-06	.0000281	5.36e-07	.0000114	.0000685	1.91e-06	.0000117	.000084	1.61e-06	.0000781	.0005299	.0000115	.0000206	.0001586	2.68e-06	.000019	.0001277	2.80e-06	.000071	.0006725	7.51e-06	.0000397	.0003645	4.29e-06	.0000142	.0001264	1.61e-06	.0000133	.0000821	2.15e-06	.0000109	.0000721	1.67e-06	.0000338	.0002326	4.95e-06	2.69e-06	.0000262	2.98e-07	.0000109	.0000705	1.67e-06	9.24e-06	.0000659	1.31e-06	.0000444	.0003335	5.90e-06	1.08e-06	.0000114	1.19e-07	3.62e-06	.0000327	4.17e-07	4.44e-15		0	2.63e-06	.0000172	4.17e-07	6.85e-06	.0000478	9.54e-07	.0000205	.0001862	2.26e-06	5.51e-06	.0000358	8.34e-07	.0000186	.0001097	3.16e-06	.0000203	.0001488	2.80e-06	9.55e-06	.0000223	.0000352	.0000663
21	1	4.34e-06	.0000212	8.94e-07	.00001	.0000569	1.79e-06	7.66e-15		0	3.15e-06	.0000162	5.96e-07	7.05e-06	.0000521	9.54e-07	6.39e-06	.0000346	1.19e-06	.0000116	.0000621	2.15e-06	.000015	.0000808	2.80e-06	.0000222	.0001214	4.05e-06	5.10e-06	.0000264	1.01e-06	4.65e-06	.0000306	7.15e-07	.0000134	.0000739	2.44e-06	.0000138	.0000914	2.09e-06	.0000923	.0005746	.0000148	.0000244	.000173	3.46e-06	.0000224	.0001384	3.64e-06	.0000839	.0007393	9.54e-06	.0000468	.0004002	5.48e-06	.0000168	.0001386	2.03e-06	.0000157	.0000887	2.80e-06	.0000129	.0000781	2.15e-06	.00004	.0002527	6.32e-06	3.18e-06	.0000288	3.58e-07	.0000129	.0000763	2.15e-06	.0000109	.0000716	1.67e-06	.0000524	.0003632	7.57e-06	1.28e-06	.0000126	1.19e-07	4.28e-06	.0000359	5.36e-07	5.33e-15		0	3.11e-06	.0000186	5.36e-07	8.09e-06	.0000519	1.25e-06	.0000242	.0002044	2.86e-06	6.51e-06	.0000387	1.07e-06	.000022	.0001183	4.11e-06	.000024	.0001618	3.58e-06	9.55e-06	.0000223	.0000352	.0000663
22	1	5.13e-06	.0000228	1.13e-06	.0000118	.0000618	2.26e-06	8.99e-15		0	3.72e-06	.0000175	7.75e-07	8.33e-06	.0000572	1.19e-06	7.54e-06	.0000375	1.49e-06	.0000137	.0000672	2.80e-06	.0000178	.0000874	3.58e-06	.0000262	.0001315	5.19e-06	6.02e-06	.0000285	1.25e-06	5.49e-06	.0000334	8.94e-07	.0000158	.00008	3.16e-06	.0000163	.0001	2.68e-06	.000109	.0006259	.000019	.0000288	.0001897	4.35e-06	.0000264	.0001507	4.65e-06	.0000991	.0008169	.000012	.0000553	.0004417	6.91e-06	.0000198	.0001527	2.56e-06	.0000185	.0000961	3.58e-06	.0000152	.0000851	2.74e-06	.0000472	.0002759	8.05e-06	3.76e-06	.0000318	4.17e-07	.0000152	.0000829	2.80e-06	.0000129	.0000783	2.15e-06	.0000619	.0003976	9.66e-06	1.51e-06	.000014	1.79e-07	5.05e-06	.0000396	6.56e-07	6.22e-15		0	3.67e-06	.0000202	6.56e-07	9.55e-06	.0000566	1.61e-06	.0000286	.0002255	3.64e-06	7.69e-06	.0000421	1.43e-06	.000026	.000128	5.25e-06	.0000284	.0001767	4.53e-06	9.55e-06	.0000223	.0000352	.0000663
23	1	6.06e-06	.0000247	1.49e-06	.000014	.0000674	2.86e-06	1.07e-14		0	4.39e-06	.000019	1.01e-06	9.84e-06	.0000631	1.55e-06	8.91e-06	.0000408	1.97e-06	.0000162	.000073	3.58e-06	.000021	.0000951	4.65e-06	.0000309	.0001432	6.68e-06	7.11e-06	.0000309	1.61e-06	6.48e-06	.0000367	1.13e-06	.0000187	.0000871	3.99e-06	.0000192	.0001099	3.40e-06	.0001287	.0006856	.0000241	.000034	.0002091	5.54e-06	.0000312	.0001651	5.90e-06	.000117	.0009076	.0000151	.0000653	.0004902	8.70e-06	.0000234	.0001692	3.22e-06	.0000219	.0001048	4.59e-06	.000018	.0000931	3.46e-06	.0000557	.0003028	.0000103	4.44e-06	.0000353	5.36e-07	.0000179	.0000906	3.58e-06	.0000152	.000086	2.68e-06	.0000732	.0004376	.0000122	1.78e-06	.0000156	1.79e-07	5.97e-06	.0000439	8.34e-07	7.44e-15		0	4.34e-06	.0000221	8.34e-07	.0000113	.0000621	2.03e-06	.0000338	.0002501	4.53e-06	9.08e-06	.000046	1.79e-06	.0000307	.0001394	6.74e-06	.0000335	.0001941	5.78e-06	9.55e-06	.0000223	.0000352	.0000663
24	1	7.15e-06	.0000269	1.91e-06	.0000165	.0000741	3.64e-06	1.25e-14		0	5.19e-06	.0000207	1.31e-06	.0000116	.0000701	1.91e-06	.0000105	.0000448	2.44e-06	.0000191	.0000799	4.59e-06	.0000248	.0001041	5.90e-06	.0000365	.0001571	8.52e-06	8.40e-06	.0000338	2.09e-06	7.66e-06	.0000407	1.43e-06	.0000221	.0000955	5.13e-06	.0000227	.0001217	4.23e-06	.000152	.0007559	.0000305	.0000401	.000232	6.91e-06	.0000369	.000182	7.45e-06	.0001382	.0010146	.0000188	.0000772	.0005473	.0000108	.0000276	.0001886	4.05e-06	.0000259	.000115	5.84e-06	.0000212	.0001026	4.41e-06	.0000658	.0003346	.0000129	5.24e-06	.0000395	7.15e-07	.0000212	.0000997	4.53e-06	.000018	.0000952	3.40e-06	.0000864	.0004846	.0000154	2.10e-06	.0000175	2.38e-07	7.05e-06	.000049	1.01e-06	8.77e-15		0	5.12e-06	.0000244	1.07e-06	.0000133	.0000686	2.56e-06	.0000399	.0002791	5.66e-06	.0000107	.0000506	2.26e-06	.0000362	.0001528	8.58e-06	.0000395	.0002146	7.27e-06	9.55e-06	.0000223	.0000352	.0000663
25	1	8.44e-06	.0000294	2.44e-06	.0000194	.0000821	4.59e-06	1.48e-14		0	6.12e-06	.0000228	1.67e-06	.0000137	.0000784	2.38e-06	.0000124	.0000495	3.10e-06	.0000226	.0000882	5.78e-06	.0000292	.0001149	7.45e-06	.0000431	.0001734	.0000107	9.91e-06	.0000373	2.62e-06	9.04e-06	.0000453	1.79e-06	.0000261	.0001055	6.44e-06	.0000268	.0001357	5.30e-06	.0001794	.0008395	.0000383	.0000474	.0002592	8.64e-06	.0000435	.000202	9.36e-06	.0001631	.0011417	.0000233	.0000911	.0006151	.0000135	.0000326	.0002117	5.01e-06	.0000305	.0001272	7.33e-06	.0000251	.000114	5.54e-06	.0000777	.0003724	.0000162	6.19e-06	.0000443	8.34e-07	.000025	.0001104	5.66e-06	.0000212	.000106	4.23e-06	.000102	.0005407	.0000193	2.48e-06	.0000197	2.98e-07	8.32e-06	.000055	1.25e-06	1.03e-14		0	6.04e-06	.0000271	1.37e-06	.0000157	.0000763	3.22e-06	.0000471	.0003136	7.03e-06	.0000127	.0000561	2.86e-06	.0000427	.0001687	.0000108	.0000467	.0002389	9.12e-06	9.55e-06	.0000223	.0000352	.0000663
26	1	9.96e-06	.0000326	3.04e-06	.0000229	.0000916	5.72e-06	1.74e-14		0	7.22e-06	.0000253	2.09e-06	.0000162	.0000884	2.98e-06	.0000147	.0000551	3.87e-06	.0000267	.000098	7.27e-06	.0000345	.0001277	9.30e-06	.0000509	.0001932	.0000134	.0000117	.0000413	3.34e-06	.0000107	.0000508	2.26e-06	.0000308	.0001175	8.05e-06	.0000316	.0001523	6.56e-06	.0002116	.0009397	.0000476	.0000559	.0002918	.0000107	.0000513	.0002261	.0000117	.0001925	.0012933	.0000286	.0001074	.0006961	.0000166	.0000384	.0002392	6.20e-06	.000036	.0001417	9.18e-06	.0000296	.0001276	6.85e-06	.0000916	.0004178	.0000201	7.30e-06	.0000502	1.07e-06	.0000295	.0001233	7.03e-06	.000025	.0001191	5.25e-06	.0001203	.0006077	.0000238	2.93e-06	.0000224	3.58e-07	9.82e-06	.0000623	1.55e-06	1.22e-14		0	7.13e-06	.0000303	1.67e-06	.0000185	.0000855	3.99e-06	.0000555	.0003549	8.70e-06	.0000149	.0000626	3.58e-06	.0000504	.0001879	.0000135	.0000551	.000268	.0000113	9.55e-06	.0000223	.0000352	.0000663
27	1	.0000117	.0000364	3.81e-06	.000027	.0001031	7.09e-06	2.07e-14		0	8.51e-06	.0000284	2.56e-06	.0000191	.0001004	3.64e-06	.0000173	.0000619	4.83e-06	.0000314	.00011	9.00e-06	.0000406	.0001433	.0000115	.00006	.0002171	.0000166	.0000138	.0000463	4.11e-06	.0000126	.0000575	2.74e-06	.0000363	.000132	9.95e-06	.0000373	.0001725	8.05e-06	.0002494	.0010604	.0000587	.0000659	.0003309	.0000131	.0000605	.000255	.0000144	.0002269	.0014748	.0000349	.0001266	.0007932	.0000202	.0000453	.0002722	7.51e-06	.0000425	.0001594	.0000113	.0000349	.000144	8.46e-06	.000108	.0004725	.0000247	8.60e-06	.0000573	1.31e-06	.0000348	.0001389	8.70e-06	.0000295	.0001348	6.44e-06	.0001418	.0006883	.0000292	3.45e-06	.0000255	4.77e-07	.0000116	.0000709	1.91e-06	1.43e-14		0	8.40e-06	.0000341	2.09e-06	.0000219	.0000966	4.95e-06	.0000654	.0004043	.0000106	.0000176	.0000705	4.41e-06	.0000594	.0002111	.0000167	.0000649	.000303	.0000139	9.55e-06	.0000223	.0000352	.0000663
