age	male	risk_cons	risk_cons_uci	risk_cons_lci	risk_respiratory	risk_respiratory_uci	risk_respiratory_lci	risk_cf	risk_cf_uci	risk_cf_lci	risk_asthmacat_2	risk_asthmacat_2_uci	risk_asthmacat_2_lci	risk_asthmacat_3	risk_asthmacat_3_uci	risk_asthmacat_3_lci	risk_cardiac	risk_cardiac_uci	risk_cardiac_lci	risk_diabcat_2	risk_diabcat_2_uci	risk_diabcat_2_lci	risk_diabcat_3	risk_diabcat_3_uci	risk_diabcat_3_lci	risk_diabcat_4	risk_diabcat_4_uci	risk_diabcat_4_lci	risk_hypertension	risk_hypertension_uci	risk_hypertension_lci	risk_af	risk_af_uci	risk_af_lci	risk_dvt_pe	risk_dvt_pe_uci	risk_dvt_pe_lci	risk_pad	risk_pad_uci	risk_pad_lci	risk_cancerExhaem_2	risk_cancerExhaem_2_uci	risk_cancerExhaem_2_lci	risk_cancerExhaem_3	risk_cancerExhaem_3_uci	risk_cancerExhaem_3_lci	risk_cancerExhaem_4	risk_cancerExhaem_4_uci	risk_cancerExhaem_4_lci	risk_cancerHaem_2	risk_cancerHaem_2_uci	risk_cancerHaem_2_lci	risk_cancerHaem_3	risk_cancerHaem_3_uci	risk_cancerHaem_3_lci	risk_cancerHaem_4	risk_cancerHaem_4_uci	risk_cancerHaem_4_lci	risk_liver	risk_liver_uci	risk_liver_lci	risk_stroke	risk_stroke_uci	risk_stroke_lci	risk_dementia	risk_dementia_uci	risk_dementia_lci	risk_tia	risk_tia_uci	risk_tia_lci	risk_neuro	risk_neuro_uci	risk_neuro_lci	risk_kidneyfn_2	risk_kidneyfn_2_uci	risk_kidneyfn_2_lci	risk_kidneyfn_3	risk_kidneyfn_3_uci	risk_kidneyfn_3_lci	risk_transplant	risk_transplant_uci	risk_transplant_lci	risk_dialysis	risk_dialysis_uci	risk_dialysis_lci	risk_spleen	risk_spleen_uci	risk_spleen_lci	risk_autoimmune	risk_autoimmune_uci	risk_autoimmune_lci	risk_ibd	risk_ibd_uci	risk_ibd_lci	risk_immunosuppression	risk_immunosuppression_uci	risk_immunosuppression_lci	risk_smi	risk_smi_uci	risk_smi_lci	risk_ldr	risk_ldr_uci	risk_ldr_lci	risk_ds	risk_ds_uci	risk_ds_lci	p50	p70	p80	p90
18	0	3.59e-06	.0000185	7.15e-07	.0000109	.0000648	1.85e-06	7.33e-15		0	7.76e-06	.0000408	1.49e-06	.0000139	.000087	2.21e-06	5.25e-06	.0000328	8.34e-07	5.94e-06	.0000359	9.54e-07	.0000133	.000078	2.26e-06	.0000102	.0000681	1.55e-06	5.78e-06	.0000324	1.01e-06	4.77e-15		0	6.71e-06	.0000409	1.07e-06	.0000176	.0001623	1.91e-06	.000032	.0002377	4.29e-06	.0000274	.0001727	4.35e-06	.0000113	.0000794	1.61e-06	.0004277	.0032859	.0000556	.0000314	.0004125	2.38e-06	6.00e-15		0	.0000206	.0001357	3.10e-06	1.82e-06	.0000184	1.79e-07	3.00e-15		0	9.38e-06	.0000876	1.01e-06	.000037	.0002106	6.50e-06	.0000254	.0001574	4.11e-06	.0000151	.0002366	9.54e-07	1.17e-06	.0000201	5.96e-08	.0000139	.0002551	7.75e-07	.0000139	.0001829	1.07e-06	3.32e-06	.0000204	5.36e-07	2.23e-06	.0000283	1.79e-07	.0000146	.0001411	1.49e-06	9.77e-06	.0000607	1.55e-06	.0000165	.0000952	2.86e-06	.0000212	.0001811	2.50e-06	6.39e-06	.0000123	.0000184	.0000331
19	0	3.90e-06	.0000187	8.34e-07	.0000118	.0000661	2.09e-06	7.88e-15		0	8.42e-06	.0000414	1.73e-06	.0000151	.0000889	2.56e-06	5.70e-06	.0000334	9.54e-07	6.44e-06	.0000367	1.13e-06	.0000144	.0000795	2.62e-06	.0000111	.0000696	1.79e-06	6.26e-06	.0000329	1.19e-06	5.11e-15		0	7.28e-06	.0000417	1.25e-06	.0000191	.0001674	2.15e-06	.0000347	.0002438	4.95e-06	.0000297	.0001763	5.01e-06	.0000123	.0000813	1.85e-06	.0004638	.0033733	.0000637	.000034	.0004286	2.68e-06	6.44e-15		0	.0000223	.0001388	3.58e-06	1.97e-06	.0000191	1.79e-07	3.22e-15		0	.0000102	.0000904	1.13e-06	.0000401	.0002141	7.51e-06	.0000275	.0001607	4.71e-06	.0000164	.0002462	1.07e-06	1.27e-06	.000021	5.96e-08	.0000151	.0002671	8.34e-07	.0000151	.0001901	1.19e-06	3.60e-06	.0000208	5.96e-07	2.42e-06	.0000293	1.79e-07	.0000158	.0001457	1.73e-06	.0000106	.0000619	1.79e-06	.0000179	.000097	3.28e-06	.000023	.0001863	2.80e-06	6.39e-06	.0000123	.0000184	.0000331
20	0	4.22e-06	.000019	9.54e-07	.0000128	.0000677	2.44e-06	8.55e-15		0	9.13e-06	.0000422	1.97e-06	.0000164	.0000911	2.92e-06	6.18e-06	.0000343	1.13e-06	6.98e-06	.0000376	1.31e-06	.0000156	.0000812	2.98e-06	.000012	.0000715	2.03e-06	6.79e-06	.0000336	1.37e-06	5.55e-15		0	7.89e-06	.0000427	1.43e-06	.0000207	.0001734	2.44e-06	.0000376	.000251	5.60e-06	.0000322	.0001807	5.72e-06	.0000133	.0000836	2.15e-06	.000503	.0034762	.0000727	.0000369	.0004469	3.04e-06	6.99e-15		0	.0000242	.0001424	4.11e-06	2.14e-06	.0000198	2.38e-07	3.44e-15		0	.000011	.0000937	1.31e-06	.0000435	.0002186	8.64e-06	.0000298	.0001646	5.42e-06	.0000178	.000257	1.25e-06	1.37e-06	.000022	5.96e-08	.0000164	.0002806	9.54e-07	.0000164	.0001982	1.37e-06	3.91e-06	.0000213	7.15e-07	2.63e-06	.0000306	2.38e-07	.0000172	.0001509	1.97e-06	.0000115	.0000634	2.09e-06	.0000194	.0000992	3.76e-06	.0000249	.0001924	3.22e-06	6.39e-06	.0000123	.0000184	.0000331
21	0	4.58e-06	.0000194	1.07e-06	.0000139	.0000697	2.80e-06	9.33e-15		0	9.90e-06	.0000432	2.26e-06	.0000177	.0000938	3.34e-06	6.70e-06	.0000353	1.25e-06	7.57e-06	.0000386	1.49e-06	.0000169	.0000834	3.46e-06	.000013	.0000737	2.32e-06	7.37e-06	.0000345	1.55e-06	6.11e-15		0	8.56e-06	.0000439	1.67e-06	.0000224	.0001802	2.80e-06	.0000408	.0002595	6.38e-06	.0000349	.000186	6.56e-06	.0000144	.0000863	2.44e-06	.0005455	.0035969	.0000826	.00004	.0004676	3.40e-06	7.55e-15		0	.0000263	.0001468	4.71e-06	2.32e-06	.0000206	2.38e-07	3.77e-15		0	.000012	.0000975	1.49e-06	.0000472	.0002241	9.95e-06	.0000323	.0001695	6.20e-06	.0000193	.0002692	1.37e-06	1.49e-06	.0000231	1.19e-07	.0000178	.0002957	1.07e-06	.0000177	.0002074	1.49e-06	4.24e-06	.0000219	8.34e-07	2.85e-06	.0000319	2.38e-07	.0000186	.0001569	2.21e-06	.0000125	.0000652	2.38e-06	.000021	.000102	4.35e-06	.000027	.0001994	3.64e-06	6.39e-06	.0000123	.0000184	.0000331
22	0	4.97e-06	.00002	1.25e-06	.0000151	.0000721	3.16e-06	1.01e-14		0	.0000107	.0000444	2.62e-06	.0000192	.000097	3.81e-06	7.27e-06	.0000366	1.43e-06	8.21e-06	.0000399	1.67e-06	.0000183	.0000861	3.93e-06	.0000141	.0000764	2.62e-06	7.99e-06	.0000355	1.79e-06	6.55e-15		0	9.28e-06	.0000454	1.91e-06	.0000243	.0001882	3.16e-06	.0000442	.0002694	7.27e-06	.0000379	.0001923	7.45e-06	.0000157	.0000895	2.74e-06	.0005916	.0037383	.0000935	.0000434	.0004911	3.81e-06	8.22e-15		0	.0000285	.0001521	5.30e-06	2.51e-06	.0000216	2.98e-07	4.11e-15		0	.000013	.0001018	1.67e-06	.0000512	.0002308	.0000113	.0000351	.0001752	7.03e-06	.0000209	.0002829	1.55e-06	1.61e-06	.0000244	1.19e-07	.0000193	.0003127	1.19e-06	.0000192	.0002178	1.67e-06	4.60e-06	.0000226	9.54e-07	3.09e-06	.0000336	2.98e-07	.0000202	.0001637	2.50e-06	.0000135	.0000674	2.68e-06	.0000228	.0001054	4.95e-06	.0000293	.0002077	4.11e-06	6.39e-06	.0000123	.0000184	.0000331
23	0	5.39e-06	.0000206	1.43e-06	.0000164	.0000749	3.58e-06	1.10e-14		0	.0000116	.0000459	2.98e-06	.0000209	.0001009	4.29e-06	7.88e-06	.0000381	1.61e-06	8.90e-06	.0000414	1.91e-06	.0000199	.0000892	4.41e-06	.0000153	.0000795	2.92e-06	8.66e-06	.0000368	2.03e-06	7.11e-15		0	.0000101	.0000471	2.15e-06	.0000264	.0001974	3.52e-06	.0000479	.0002811	8.17e-06	.0000411	.0001999	8.46e-06	.000017	.0000933	3.10e-06	.0006416	.0039039	.0001053	.000047	.0005178	4.29e-06	8.99e-15		0	.0000309	.0001583	6.02e-06	2.72e-06	.0000227	2.98e-07	4.44e-15		0	.0000141	.0001068	1.85e-06	.0000555	.000239	.0000129	.000038	.0001821	7.93e-06	.0000227	.0002984	1.73e-06	1.75e-06	.0000258	1.19e-07	.0000209	.0003319	1.31e-06	.0000209	.0002297	1.91e-06	4.99e-06	.0000235	1.07e-06	3.35e-06	.0000353	2.98e-07	.0000219	.0001717	2.80e-06	.0000147	.00007	3.04e-06	.0000247	.0001094	5.60e-06	.0000318	.0002173	4.65e-06	6.39e-06	.0000123	.0000184	.0000331
24	0	5.85e-06	.0000214	1.61e-06	.0000177	.0000783	3.99e-06	1.19e-14		0	.0000126	.0000477	3.34e-06	.0000226	.0001056	4.83e-06	8.55e-06	.0000399	1.85e-06	9.66e-06	.0000433	2.15e-06	.0000216	.0000932	5.01e-06	.0000166	.0000833	3.34e-06	9.40e-06	.0000383	2.32e-06	7.77e-15		0	.0000109	.0000492	2.44e-06	.0000286	.000208	3.93e-06	.000052	.0002949	9.18e-06	.0000445	.000209	9.48e-06	.0000184	.0000978	3.46e-06	.000696	.004099	.000118	.000051	.0005484	4.77e-06	9.66e-15		0	.0000335	.0001658	6.79e-06	2.95e-06	.000024	3.58e-07	4.77e-15		0	.0000153	.0001127	2.09e-06	.0000602	.000249	.0000145	.0000413	.0001904	8.94e-06	.0000246	.0003161	1.91e-06	1.90e-06	.0000274	1.19e-07	.0000227	.0003536	1.43e-06	.0000226	.0002432	2.09e-06	5.41e-06	.0000246	1.19e-06	3.64e-06	.0000374	3.58e-07	.0000238	.000181	3.10e-06	.0000159	.0000732	3.46e-06	.0000268	.0001143	6.26e-06	.0000344	.0002284	5.19e-06	6.39e-06	.0000123	.0000184	.0000331
25	0	6.34e-06	.0000224	1.79e-06	.0000192	.0000825	4.47e-06	1.29e-14		0	.0000137	.0000501	3.76e-06	.0000246	.0001112	5.42e-06	9.28e-06	.000042	2.03e-06	.0000105	.0000455	2.38e-06	.0000234	.0000979	5.60e-06	.000018	.0000878	3.70e-06	.0000102	.0000402	2.56e-06	8.44e-15		0	.0000119	.0000518	2.74e-06	.000031	.0002204	4.35e-06	.0000564	.0003113	.0000103	.0000483	.0002199	.0000106	.00002	.0001031	3.87e-06	.0007552	.0043292	.0001315	.0000554	.0005835	5.25e-06	1.05e-14		0	.0000364	.0001747	7.57e-06	3.21e-06	.0000255	4.17e-07	5.22e-15		0	.0000166	.0001194	2.32e-06	.0000653	.0002613	.0000163	.0000448	.0002005	.00001	.0000267	.0003363	2.15e-06	2.06e-06	.0000292	1.19e-07	.0000246	.0003783	1.61e-06	.0000246	.0002588	2.32e-06	5.87e-06	.0000259	1.31e-06	3.94e-06	.0000398	4.17e-07	.0000258	.0001917	3.46e-06	.0000173	.000077	3.87e-06	.0000291	.0001203	7.03e-06	.0000374	.0002415	5.78e-06	6.39e-06	.0000123	.0000184	.0000331
26	0	6.89e-06	.0000237	2.03e-06	.0000209	.0000875	5.01e-06	1.40e-14		0	.0000149	.0000529	4.17e-06	.0000267	.0001179	6.02e-06	.0000101	.0000446	2.26e-06	.0000114	.0000482	2.68e-06	.0000254	.0001035	6.26e-06	.0000196	.0000932	4.11e-06	.0000111	.0000426	2.86e-06	9.10e-15		0	.0000129	.0000548	3.04e-06	.0000337	.0002348	4.83e-06	.0000613	.0003306	.0000113	.0000525	.0002331	.0000118	.0000217	.0001094	4.29e-06	.0008199	.0046004	.0001459	.0000601	.0006239	5.78e-06	1.14e-14		0	.0000395	.0001854	8.40e-06	3.48e-06	.0000271	4.17e-07	5.66e-15		0	.000018	.0001274	2.56e-06	.0000709	.0002763	.0000182	.0000486	.0002125	.0000111	.000029	.0003595	2.32e-06	2.24e-06	.0000313	1.79e-07	.0000267	.0004064	1.79e-06	.0000267	.0002767	2.56e-06	6.37e-06	.0000274	1.49e-06	4.28e-06	.0000425	4.17e-07	.000028	.0002042	3.81e-06	.0000187	.0000815	4.29e-06	.0000316	.0001275	7.81e-06	.0000406	.0002569	6.44e-06	6.39e-06	.0000123	.0000184	.0000331
27	0	7.48e-06	.0000252	2.21e-06	.0000227	.0000935	5.54e-06	1.52e-14		0	.0000162	.0000563	4.65e-06	.000029	.0001259	6.68e-06	.0000109	.0000476	2.50e-06	.0000124	.0000514	2.98e-06	.0000276	.0001104	6.91e-06	.0000213	.0000995	4.53e-06	.000012	.0000454	3.22e-06	9.88e-15		0	.000014	.0000585	3.34e-06	.0000366	.0002516	5.30e-06	.0000666	.0003533	.0000125	.000057	.0002487	.0000131	.0000236	.0001169	4.77e-06	.0008909	.0049187	.0001611	.0000653	.0006703	6.38e-06	1.24e-14		0	.0000429	.000198	9.30e-06	3.78e-06	.0000291	4.77e-07	6.11e-15		0	.0000195	.0001366	2.80e-06	.000077	.0002942	.0000201	.0000528	.0002268	.0000123	.0000315	.000386	2.56e-06	2.43e-06	.0000337	1.79e-07	.0000291	.0004385	1.91e-06	.000029	.0002972	2.80e-06	6.92e-06	.0000292	1.67e-06	4.65e-06	.0000457	4.77e-07	.0000304	.0002187	4.23e-06	.0000204	.000087	4.77e-06	.0000343	.0001361	8.64e-06	.0000441	.0002748	7.09e-06	6.39e-06	.0000123	.0000184	.0000331
