age	atrisk	natrisk	ncoviddeath	rr_coviddeath	cl_coviddeath	cu_coviddeath	ncovidadmission	rr_covidadmission	cl_covidadmission	cu_covidadmission	ncomposite	rr_composite	cl_composite	cu_composite
1	0	"529943"	"<5"	1			"282"	1			"282"	1		
1	1	"28352"	"<5"	0			"70"	4.639748	3.572292	6.026175	"70"	4.639748	3.572292	6.026175
2	0	"825054"	"<5"	1			"674"	1			"677"	1		
2	1	"67621"	"[R]"	24.4023	6.103094	97.56893	"179"	3.240365	2.748538	3.8202	"181"	3.262051	2.769144	3.842695
3	0	"1016720"	"10"	1			"1093"	1			"1096"	1		
3	1	"116099"	"8"	7.005883	2.765102	17.75066	"351"	2.812288	2.494047	3.171138	"354"	2.828561	2.50955	3.188126
4	0	"1151704"	"9"	1			"1356"	1			"1359"	1		
4	1	"161155"	"12"	9.528748	4.015116	22.6138	"556"	2.930301	2.655256	3.233836	"561"	2.950125	2.674142	3.254592
5	0	"1107405"	"17"	1			"1366"	1			"1372"	1		
5	1	"192489"	"38"	12.85983	7.258971	22.78219	"764"	3.217683	2.945411	3.515123	"772"	3.237157	2.964319	3.535107
6	0	"975726"	"37"	1			"1346"	1			"1355"	1		
6	1	"221271"	"61"	7.269951	4.832513	10.93679	"1008"	3.302318	3.043828	3.582759	"1028"	3.34547	3.085371	3.627497
7	0	"921779"	"65"	1			"1613"	1			"1625"	1		
7	1	"285718"	"111"	5.509331	4.056643	7.482227	"1581"	3.162181	2.950649	3.388877	"1607"	3.190448	2.978253	3.417762
8	0	"886415"	"81"	1			"1800"	1			"1817"	1		
8	1	"365567"	"224"	6.70553	5.200975	8.645328	"2451"	3.301725	3.107218	3.508409	"2497"	3.332221	3.137182	3.539384
9	0	"781029"	"119"	1			"1728"	1			"1760"	1		
9	1	"419466"	"386"	6.039636	4.917848	7.41731	"3027"	3.261663	3.074868	3.459805	"3115"	3.295458	3.108749	3.493381
10	0	"595579"	"134"	1			"1401"	1			"1430"	1		
10	1	"430383"	"635"	6.557725	5.443159	7.900514	"3590"	3.546015	3.334117	3.77138	"3699"	3.579584	3.368074	3.804376
11	0	"449199"	"133"	1			"1029"	1			"1047"	1		
11	1	"443312"	"845"	6.437754	5.362285	7.728921	"3871"	3.811861	3.559073	4.082604	"4043"	3.912788	3.656157	4.187433
12	0	"383212"	"174"	1			"1032"	1			"1064"	1		
12	1	"520359"	"1502"	6.357066	5.433955	7.436993	"5305"	3.785661	3.541921	4.046174	"5574"	3.857992	3.613615	4.118896
13	0	"203693"	"162"	1			"743"	1			"765"	1		
13	1	"427050"	"2056"	6.053485	5.159194	7.102793	"5886"	3.778582	3.501614	4.077457	"6340"	3.952985	3.667979	4.260137
14	0	"95269"	"163"	1			"568"	1			"597"	1		
14	1	"330815"	"2732"	4.826802	4.12192	5.652225	"6550"	3.320927	3.049012	3.617093	"7278"	3.510784	3.230736	3.815107
15	0	"35942"	"135"	1			"405"	1			"434"	1		
15	1	"207730"	"3006"	3.852638	3.243617	4.57601	"5797"	2.476574	2.240646	2.737344	"6733"	2.684243	2.437519	2.955941
16	0	"14305"	"172"	1			"293"	1			"362"	1		
16	1	"117603"	"3134"	2.216358	1.90286	2.581507	"4157"	1.725766	1.534923	1.940337	"5502"	1.848764	1.664616	2.053283
17	0	"342"	"10"	1			"10"	1			"16"	1		
17	1	"2722"	"123"	1.545408	.8192834	2.91509	"88"	1.105658	.5804886	2.105948	"168"	1.319251	.7999153	2.175758
