age	male	risk_cons	risk_cons_uci	risk_cons_lci	risk_respiratory	risk_respiratory_uci	risk_respiratory_lci	risk_cf	risk_cf_uci	risk_cf_lci	risk_asthmacat_2	risk_asthmacat_2_uci	risk_asthmacat_2_lci	risk_asthmacat_3	risk_asthmacat_3_uci	risk_asthmacat_3_lci	risk_cardiac	risk_cardiac_uci	risk_cardiac_lci	risk_diabcat_2	risk_diabcat_2_uci	risk_diabcat_2_lci	risk_diabcat_3	risk_diabcat_3_uci	risk_diabcat_3_lci	risk_diabcat_4	risk_diabcat_4_uci	risk_diabcat_4_lci	risk_hypertension	risk_hypertension_uci	risk_hypertension_lci	risk_af	risk_af_uci	risk_af_lci	risk_dvt_pe	risk_dvt_pe_uci	risk_dvt_pe_lci	risk_pad	risk_pad_uci	risk_pad_lci	risk_cancerExhaem_2	risk_cancerExhaem_2_uci	risk_cancerExhaem_2_lci	risk_cancerExhaem_3	risk_cancerExhaem_3_uci	risk_cancerExhaem_3_lci	risk_cancerExhaem_4	risk_cancerExhaem_4_uci	risk_cancerExhaem_4_lci	risk_cancerHaem_2	risk_cancerHaem_2_uci	risk_cancerHaem_2_lci	risk_cancerHaem_3	risk_cancerHaem_3_uci	risk_cancerHaem_3_lci	risk_cancerHaem_4	risk_cancerHaem_4_uci	risk_cancerHaem_4_lci	risk_liver	risk_liver_uci	risk_liver_lci	risk_stroke	risk_stroke_uci	risk_stroke_lci	risk_dementia	risk_dementia_uci	risk_dementia_lci	risk_tia	risk_tia_uci	risk_tia_lci	risk_neuro	risk_neuro_uci	risk_neuro_lci	risk_kidneyfn_2	risk_kidneyfn_2_uci	risk_kidneyfn_2_lci	risk_kidneyfn_3	risk_kidneyfn_3_uci	risk_kidneyfn_3_lci	risk_transplant	risk_transplant_uci	risk_transplant_lci	risk_dialysis	risk_dialysis_uci	risk_dialysis_lci	risk_spleen	risk_spleen_uci	risk_spleen_lci	risk_autoimmune	risk_autoimmune_uci	risk_autoimmune_lci	risk_ibd	risk_ibd_uci	risk_ibd_lci	risk_immunosuppression	risk_immunosuppression_uci	risk_immunosuppression_lci	risk_smi	risk_smi_uci	risk_smi_lci	risk_ldr	risk_ldr_uci	risk_ldr_lci	risk_ds	risk_ds_uci	risk_ds_lci	p50	p70	p80	p90
18	1	1.32e-06	7.81e-06	2.38e-07	3.29e-06	.0000218	4.77e-07	7.66e-15		0	1.30e-06	7.87e-06	2.38e-07	8.36e-06	.0000574	1.19e-06	3.73e-06	.0000235	5.96e-07	2.69e-06	.0000175	4.17e-07	3.08e-06	.0000201	4.77e-07	2.22e-06	.0000162	2.98e-07	1.93e-06	.000012	2.98e-07	1.90e-06	.0000136	2.38e-07	3.11e-06	.0000209	4.77e-07	2.32e-06	.0000225	2.38e-07	.000026	.0002171	3.10e-06	6.20e-06	.0000591	6.56e-07	1.43e-06	.0000205	1.19e-07	2.33e-15		0	3.00e-15		0	2.56e-06	.0000368	1.79e-07	8.09e-06	.0000531	1.25e-06	1.19e-06	.0000105	1.19e-07	4.00e-15		0	2.04e-06	.000021	1.79e-07	5.94e-06	.0000409	8.34e-07	4.66e-06	.0000346	6.56e-07	.0000214	.0001681	2.74e-06	4.76e-07	4.65e-06	5.96e-08	8.71e-07	8.70e-06	5.96e-08	6.32e-06	.0000609	6.56e-07	3.35e-06	.0000212	5.36e-07	5.04e-07	7.09e-06	5.96e-08	.0000119	.0001111	1.25e-06	3.13e-06	.0000216	4.77e-07	4.79e-06	.0000319	7.15e-07	9.04e-06	.0000793	1.01e-06	2.97e-06	6.61e-06	.0000105	.0000201
19	1	1.47e-06	7.99e-06	2.98e-07	3.64e-06	.0000225	5.96e-07	8.55e-15		0	1.43e-06	8.11e-06	2.38e-07	9.25e-06	.0000592	1.43e-06	4.13e-06	.0000242	7.15e-07	2.97e-06	.0000181	4.77e-07	3.40e-06	.0000207	5.36e-07	2.45e-06	.0000167	3.58e-07	2.13e-06	.0000123	3.58e-07	2.10e-06	.0000141	2.98e-07	3.44e-06	.0000215	5.36e-07	2.57e-06	.0000234	2.98e-07	.0000287	.0002254	3.64e-06	6.86e-06	.0000616	7.75e-07	1.58e-06	.0000215	1.19e-07	2.55e-15		0	3.33e-15		0	2.83e-06	.0000387	1.79e-07	8.95e-06	.0000547	1.49e-06	1.32e-06	.0000109	1.79e-07	4.44e-15		0	2.26e-06	.0000219	2.38e-07	6.57e-06	.0000421	1.01e-06	5.15e-06	.0000358	7.15e-07	.0000237	.0001741	3.22e-06	5.26e-07	4.83e-06	5.96e-08	9.63e-07	9.12e-06	1.19e-07	6.99e-06	.0000634	7.75e-07	3.71e-06	.0000218	6.56e-07	5.58e-07	7.45e-06	5.96e-08	.0000131	.0001159	1.49e-06	3.46e-06	.0000223	5.36e-07	5.30e-06	.0000329	8.34e-07	9.99e-06	.0000824	1.19e-06	2.97e-06	6.61e-06	.0000105	.0000201
20	1	1.62e-06	8.23e-06	2.98e-07	4.03e-06	.0000233	7.15e-07	9.44e-15		0	1.59e-06	8.34e-06	2.98e-07	.0000102	.0000613	1.73e-06	4.57e-06	.000025	8.34e-07	3.29e-06	.0000187	5.96e-07	3.76e-06	.0000214	6.56e-07	2.71e-06	.0000173	4.17e-07	2.36e-06	.0000127	4.17e-07	2.32e-06	.0000147	3.58e-07	3.81e-06	.0000222	6.56e-07	2.84e-06	.0000245	3.58e-07	.0000318	.000235	4.29e-06	7.59e-06	.0000644	8.94e-07	1.75e-06	.0000227	1.19e-07	2.89e-15		0	3.66e-15		0	3.13e-06	.0000409	2.38e-07	9.90e-06	.0000566	1.73e-06	1.45e-06	.0000114	1.79e-07	4.88e-15		0	2.50e-06	.0000229	2.98e-07	7.26e-06	.0000436	1.19e-06	5.70e-06	.0000373	8.94e-07	.0000262	.0001811	3.81e-06	5.82e-07	5.07e-06	5.96e-08	1.07e-06	9.54e-06	1.19e-07	7.73e-06	.0000663	8.94e-07	4.10e-06	.0000225	7.75e-07	6.17e-07	7.87e-06	5.96e-08	.0000145	.0001213	1.73e-06	3.83e-06	.0000231	6.56e-07	5.86e-06	.0000341	1.01e-06	.0000111	.0000859	1.43e-06	2.97e-06	6.61e-06	.0000105	.0000201
21	1	1.79e-06	8.52e-06	3.58e-07	4.46e-06	.0000242	8.34e-07	1.04e-14		0	1.75e-06	8.64e-06	3.58e-07	.0000113	.0000638	2.03e-06	5.05e-06	.0000259	1.01e-06	3.64e-06	.0000194	6.56e-07	4.16e-06	.0000222	7.75e-07	3.00e-06	.0000181	4.77e-07	2.61e-06	.0000132	5.36e-07	2.57e-06	.0000153	4.17e-07	4.21e-06	.0000231	7.75e-07	3.14e-06	.0000257	3.58e-07	.0000352	.0002459	5.01e-06	8.39e-06	.0000677	1.01e-06	1.94e-06	.0000241	1.79e-07	3.11e-15		0	4.00e-15		0	3.47e-06	.0000433	2.98e-07	.0000109	.0000588	2.03e-06	1.61e-06	.000012	2.38e-07	5.44e-15		0	2.77e-06	.0000241	2.98e-07	8.03e-06	.0000454	1.43e-06	6.30e-06	.0000389	1.01e-06	.000029	.0001891	4.47e-06	6.44e-07	5.30e-06	5.96e-08	1.18e-06	.0000101	1.19e-07	8.55e-06	.0000697	1.07e-06	4.54e-06	.0000234	8.94e-07	6.83e-07	8.34e-06	5.96e-08	.0000161	.0001275	2.03e-06	4.24e-06	.000024	7.75e-07	6.48e-06	.0000355	1.19e-06	.0000122	.00009	1.67e-06	2.97e-06	6.61e-06	.0000105	.0000201
22	1	1.98e-06	8.82e-06	4.17e-07	4.93e-06	.0000253	9.54e-07	1.15e-14		0	1.94e-06	9.00e-06	4.17e-07	.0000125	.0000666	2.32e-06	5.59e-06	.000027	1.13e-06	4.02e-06	.0000202	7.75e-07	4.60e-06	.0000232	8.94e-07	3.32e-06	.000019	5.96e-07	2.88e-06	.0000137	5.96e-07	2.84e-06	.000016	4.77e-07	4.66e-06	.0000241	8.94e-07	3.48e-06	.0000272	4.17e-07	.0000389	.0002584	5.84e-06	9.28e-06	.0000715	1.19e-06	2.14e-06	.0000256	1.79e-07	3.44e-15		0	4.44e-15		0	3.84e-06	.0000461	2.98e-07	.0000121	.0000613	2.38e-06	1.78e-06	.0000126	2.38e-07	6.00e-15		0	3.06e-06	.0000255	3.58e-07	8.88e-06	.0000474	1.67e-06	6.97e-06	.0000408	1.19e-06	.0000321	.0001984	5.19e-06	7.12e-07	5.60e-06	1.19e-07	1.30e-06	.0000106	1.79e-07	9.45e-06	.0000735	1.19e-06	5.02e-06	.0000243	1.01e-06	7.55e-07	8.88e-06	5.96e-08	.0000178	.0001346	2.32e-06	4.69e-06	.000025	8.94e-07	7.17e-06	.0000371	1.37e-06	.0000135	.0000947	1.91e-06	2.97e-06	6.61e-06	.0000105	.0000201
23	1	2.19e-06	9.18e-06	5.36e-07	5.45e-06	.0000265	1.13e-06	1.28e-14		0	2.15e-06	9.42e-06	4.77e-07	.0000138	.00007	2.74e-06	6.18e-06	.0000283	1.37e-06	4.45e-06	.0000212	9.54e-07	5.09e-06	.0000243	1.07e-06	3.67e-06	.0000199	6.56e-07	3.19e-06	.0000143	7.15e-07	3.14e-06	.0000168	5.96e-07	5.15e-06	.0000253	1.07e-06	3.84e-06	.0000288	5.36e-07	.000043	.000273	6.79e-06	.0000103	.0000758	1.37e-06	2.37e-06	.0000274	1.79e-07	3.89e-15		0	4.88e-15		0	4.24e-06	.0000492	3.58e-07	.0000134	.0000643	2.80e-06	1.97e-06	.0000134	2.98e-07	6.66e-15		0	3.38e-06	.0000271	4.17e-07	9.83e-06	.0000497	1.97e-06	7.71e-06	.0000429	1.37e-06	.0000355	.0002091	6.02e-06	7.88e-07	5.96e-06	1.19e-07	1.44e-06	.0000113	1.79e-07	.0000105	.0000779	1.43e-06	5.55e-06	.0000255	1.19e-06	8.35e-07	9.48e-06	5.96e-08	.0000196	.0001428	2.68e-06	5.18e-06	.0000263	1.01e-06	7.93e-06	.0000389	1.61e-06	.000015	.0001	2.26e-06	2.97e-06	6.61e-06	.0000105	.0000201
24	1	2.43e-06	9.66e-06	5.96e-07	6.03e-06	.000028	1.31e-06	1.41e-14		0	2.37e-06	9.95e-06	5.96e-07	.0000153	.0000739	3.16e-06	6.84e-06	.0000298	1.55e-06	4.92e-06	.0000223	1.07e-06	5.63e-06	.0000257	1.25e-06	4.06e-06	.0000211	7.75e-07	3.53e-06	.0000151	8.34e-07	3.48e-06	.0000178	6.56e-07	5.70e-06	.0000268	1.19e-06	4.25e-06	.0000308	5.96e-07	.0000476	.00029	7.81e-06	.0000114	.0000808	1.61e-06	2.62e-06	.0000294	2.38e-07	4.22e-15		0	5.44e-15		0	4.69e-06	.0000529	4.17e-07	.0000148	.0000679	3.22e-06	2.18e-06	.0000142	3.58e-07	7.33e-15		0	3.74e-06	.0000289	4.77e-07	.0000109	.0000525	2.26e-06	8.53e-06	.0000455	1.61e-06	.0000393	.0002217	6.97e-06	8.71e-07	6.32e-06	1.19e-07	1.59e-06	.000012	2.38e-07	.0000116	.000083	1.61e-06	6.14e-06	.0000268	1.43e-06	9.24e-07	.0000101	5.96e-08	.0000217	.0001523	3.10e-06	5.74e-06	.0000278	1.19e-06	8.78e-06	.0000411	1.85e-06	.0000166	.0001063	2.56e-06	2.97e-06	6.61e-06	.0000105	.0000201
25	1	2.69e-06	.0000103	7.15e-07	6.68e-06	.0000298	1.49e-06	1.55e-14		0	2.63e-06	.0000106	6.56e-07	.0000169	.0000786	3.64e-06	7.57e-06	.0000317	1.79e-06	5.45e-06	.0000237	1.25e-06	6.23e-06	.0000273	1.43e-06	4.49e-06	.0000225	8.94e-07	3.90e-06	.000016	9.54e-07	3.85e-06	.000019	7.75e-07	6.30e-06	.0000284	1.37e-06	4.71e-06	.000033	6.56e-07	.0000527	.00031	8.94e-06	.0000126	.0000865	1.85e-06	2.90e-06	.0000317	2.38e-07	4.66e-15		0	6.00e-15		0	5.19e-06	.000057	4.77e-07	.0000164	.0000721	3.70e-06	2.41e-06	.0000153	3.58e-07	8.10e-15		0	4.14e-06	.0000311	5.36e-07	.000012	.0000558	2.56e-06	9.44e-06	.0000485	1.85e-06	.0000435	.0002366	7.99e-06	9.64e-07	6.79e-06	1.19e-07	1.76e-06	.0000129	2.38e-07	.0000128	.0000889	1.85e-06	6.79e-06	.0000284	1.61e-06	1.02e-06	.0000109	1.19e-07	.0000241	.0001634	3.52e-06	6.35e-06	.0000296	1.37e-06	9.71e-06	.0000438	2.15e-06	.0000183	.0001136	2.98e-06	2.97e-06	6.61e-06	.0000105	.0000201
26	1	2.97e-06	.0000109	8.34e-07	7.39e-06	.0000319	1.73e-06	1.72e-14		0	2.91e-06	.0000113	7.75e-07	.0000188	.0000843	4.17e-06	8.38e-06	.0000339	2.09e-06	6.03e-06	.0000253	1.43e-06	6.90e-06	.0000293	1.61e-06	4.97e-06	.0000241	1.01e-06	4.32e-06	.0000171	1.07e-06	4.26e-06	.0000204	8.94e-07	6.98e-06	.0000305	1.61e-06	5.21e-06	.0000356	7.75e-07	.0000583	.0003336	.0000102	.0000139	.0000934	2.09e-06	3.21e-06	.0000343	2.98e-07	5.22e-15		0	6.66e-15		0	5.75e-06	.0000618	5.36e-07	.0000182	.0000772	4.29e-06	2.67e-06	.0000164	4.17e-07	8.99e-15		0	4.59e-06	.0000335	6.56e-07	.0000133	.0000598	2.98e-06	.0000105	.0000522	2.09e-06	.0000481	.0002543	9.12e-06	1.07e-06	7.33e-06	1.79e-07	1.95e-06	.000014	2.98e-07	.0000142	.0000959	2.09e-06	7.52e-06	.0000304	1.85e-06	1.13e-06	.0000119	1.19e-07	.0000266	.0001765	3.99e-06	7.03e-06	.0000317	1.55e-06	.0000108	.000047	2.44e-06	.0000203	.0001222	3.34e-06	2.97e-06	6.61e-06	.0000105	.0000201
27	1	3.29e-06	.0000117	9.54e-07	8.19e-06	.0000345	1.97e-06	1.91e-14		0	3.22e-06	.0000122	8.34e-07	.0000208	.000091	4.77e-06	9.28e-06	.0000365	2.38e-06	6.68e-06	.0000274	1.61e-06	7.65e-06	.0000315	1.85e-06	5.51e-06	.000026	1.19e-06	4.79e-06	.0000184	1.25e-06	4.72e-06	.0000221	1.01e-06	7.73e-06	.0000329	1.79e-06	5.77e-06	.0000386	8.34e-07	.0000646	.0003613	.0000116	.0000154	.0001014	2.32e-06	3.56e-06	.0000374	3.58e-07	5.77e-15		0	7.44e-15		0	6.37e-06	.0000674	5.96e-07	.0000201	.0000833	4.83e-06	2.96e-06	.0000178	4.77e-07	9.88e-15		0	5.08e-06	.0000364	7.15e-07	.0000148	.0000646	3.40e-06	.0000116	.0000564	2.38e-06	.0000533	.0002751	.0000103	1.18e-06	7.99e-06	1.79e-07	2.16e-06	.0000152	2.98e-07	.0000157	.0001041	2.38e-06	8.33e-06	.0000328	2.15e-06	1.25e-06	.0000129	1.19e-07	.0000295	.0001917	4.53e-06	7.79e-06	.0000342	1.79e-06	.0000119	.0000508	2.80e-06	.0000225	.0001324	3.81e-06	2.97e-06	6.61e-06	.0000105	.0000201
