age	male	risk_cons	risk_cons_uci	risk_cons_lci	risk_respiratory	risk_respiratory_uci	risk_respiratory_lci	risk_cf	risk_cf_uci	risk_cf_lci	risk_asthmacat_2	risk_asthmacat_2_uci	risk_asthmacat_2_lci	risk_asthmacat_3	risk_asthmacat_3_uci	risk_asthmacat_3_lci	risk_cardiac	risk_cardiac_uci	risk_cardiac_lci	risk_diabcat_2	risk_diabcat_2_uci	risk_diabcat_2_lci	risk_diabcat_3	risk_diabcat_3_uci	risk_diabcat_3_lci	risk_diabcat_4	risk_diabcat_4_uci	risk_diabcat_4_lci	risk_hypertension	risk_hypertension_uci	risk_hypertension_lci	risk_af	risk_af_uci	risk_af_lci	risk_dvt_pe	risk_dvt_pe_uci	risk_dvt_pe_lci	risk_pad	risk_pad_uci	risk_pad_lci	risk_cancerExhaem_2	risk_cancerExhaem_2_uci	risk_cancerExhaem_2_lci	risk_cancerExhaem_3	risk_cancerExhaem_3_uci	risk_cancerExhaem_3_lci	risk_cancerExhaem_4	risk_cancerExhaem_4_uci	risk_cancerExhaem_4_lci	risk_cancerHaem_2	risk_cancerHaem_2_uci	risk_cancerHaem_2_lci	risk_cancerHaem_3	risk_cancerHaem_3_uci	risk_cancerHaem_3_lci	risk_cancerHaem_4	risk_cancerHaem_4_uci	risk_cancerHaem_4_lci	risk_liver	risk_liver_uci	risk_liver_lci	risk_stroke	risk_stroke_uci	risk_stroke_lci	risk_dementia	risk_dementia_uci	risk_dementia_lci	risk_tia	risk_tia_uci	risk_tia_lci	risk_neuro	risk_neuro_uci	risk_neuro_lci	risk_kidneyfn_2	risk_kidneyfn_2_uci	risk_kidneyfn_2_lci	risk_kidneyfn_3	risk_kidneyfn_3_uci	risk_kidneyfn_3_lci	risk_transplant	risk_transplant_uci	risk_transplant_lci	risk_dialysis	risk_dialysis_uci	risk_dialysis_lci	risk_spleen	risk_spleen_uci	risk_spleen_lci	risk_autoimmune	risk_autoimmune_uci	risk_autoimmune_lci	risk_ibd	risk_ibd_uci	risk_ibd_lci	risk_immunosuppression	risk_immunosuppression_uci	risk_immunosuppression_lci	risk_smi	risk_smi_uci	risk_smi_lci	risk_ldr	risk_ldr_uci	risk_ldr_lci	risk_ds	risk_ds_uci	risk_ds_lci	p50	p70	p80	p90
18	0	.0001494	.0002056	.0001085	.0003535	.0005219	.0002395	.0003272	.0009287	.0001152	.000198	.000275	.0001426	.0004926	.0007209	.0003365	.0001962	.0002942	.0001308	.0002632	.0003791	.0001827	.0003972	.0005752	.0002742	.0003042	.0004587	.0002018	.000224	.0003169	.0001583	.0002364	.0003685	.0001516	.0003323	.0004833	.0002285	.0003403	.0006939	.0001669	.0006467	.0011041	.0003788	.0004084	.0006429	.0002593	.0002014	.00033	.000123	.0029158	.0060354	.0014075	.0008994	.0018646	.0004337	.0002619	.0005627	.0001219	.000401	.0006312	.0002548	.0002439	.0003998	.0001488	.0001127	.0004683	.0000271	.0002104	.0003818	.0001159	.0004052	.0006115	.0002685	.0003746	.0006021	.000233	.0005361	.0010607	.000271	.0001955	.0003812	.0001003	.0002982	.0006046	.000147	.0004655	.0008498	.000255	.0001815	.0002603	.0001266	.0002069	.0003235	.0001323	.0001613	.0003846	.0000677	.0003308	.0004867	.0002249	.0003737	.0005586	.0002499	.0001921	.0004296	.0000859	.0003011	.0004473	.0005864	.0008316
19	0	.0001547	.0002119	.000113	.0003662	.0005383	.0002491	.0003389	.0009604	.0001196	.0002051	.0002834	.0001484	.0005102	.0007435	.0003501	.0002032	.0003035	.0001361	.0002726	.0003909	.0001901	.0004114	.0005931	.0002853	.0003151	.0004731	.0002099	.000232	.0003267	.0001647	.0002449	.0003803	.0001577	.0003442	.0004984	.0002378	.0003525	.000717	.0001733	.0006699	.0011401	.0003936	.000423	.0006635	.0002697	.0002086	.0003406	.0001278	.0030199	.0062363	.0014612	.0009316	.0019268	.0004503	.0002713	.0005815	.0001265	.0004153	.0006513	.0002648	.0002526	.0004127	.0001547	.0001168	.0004845	.0000281	.0002179	.0003944	.0001204	.0004197	.0006308	.0002792	.000388	.0006215	.0002422	.0005553	.0010958	.0002814	.0002025	.0003938	.0001041	.0003089	.000625	.0001526	.0004822	.0008777	.0002649	.000188	.0002683	.0001317	.0002143	.0003339	.0001375	.0001671	.0003976	.0000702	.0003427	.0005019	.0002339	.000387	.0005763	.0002599	.000199	.0004441	.0000892	.0003011	.0004473	.0005864	.0008316
20	0	.0001602	.0002185	.0001175	.0003793	.0005555	.0002589	.000351	.0009932	.000124	.0002124	.0002922	.0001544	.0005284	.0007672	.0003639	.0002105	.0003132	.0001414	.0002823	.0004032	.0001976	.0004261	.000612	.0002967	.0003264	.0004883	.0002182	.0002403	.0003369	.0001714	.0002536	.0003926	.0001639	.0003565	.0005141	.0002472	.0003651	.0007411	.0001798	.0006938	.0011775	.0004088	.0004381	.0006849	.0002802	.0002161	.0003518	.0001327	.0031278	.0064455	.0015165	.0009649	.0019917	.0004673	.000281	.0006011	.0001313	.0004302	.0006724	.0002752	.0002617	.0004262	.0001606	.0001209	.0005014	.0000291	.0002257	.0004075	.000125	.0004347	.000651	.0002902	.0004019	.0006418	.0002516	.0005752	.0011325	.0002921	.0002098	.000407	.0001081	.0003199	.0006461	.0001584	.0004994	.0009069	.000275	.0001947	.0002767	.000137	.0002219	.0003447	.0001429	.0001731	.0004112	.0000728	.0003549	.0005178	.0002432	.0004009	.0005949	.0002701	.0002061	.0004591	.0000925	.0003011	.0004473	.0005864	.0008316
21	0	.000166	.0002254	.0001222	.0003928	.0005736	.0002691	.0003635	.0010273	.0001286	.00022	.0003015	.0001605	.0005473	.000792	.0003783	.000218	.0003235	.0001469	.0002924	.0004162	.0002055	.0004413	.0006316	.0003083	.0003381	.0005041	.0002267	.0002489	.0003477	.0001781	.0002627	.0004054	.0001702	.0003693	.0005306	.000257	.0003781	.0007662	.0001866	.0007186	.0012167	.0004244	.0004537	.0007074	.000291	.0002238	.0003634	.0001379	.0032395	.0066636	.0015734	.0009994	.0020593	.0004849	.000291	.0006216	.0001363	.0004456	.0006945	.0002859	.000271	.0004404	.0001668	.0001253	.0005189	.0000302	.0002338	.0004212	.0001298	.0004502	.0006722	.0003015	.0004162	.000663	.0002613	.0005957	.0011708	.0003031	.0002173	.0004207	.0001122	.0003314	.0006682	.0001643	.0005173	.0009373	.0002854	.0002017	.0002856	.0001424	.0002299	.000356	.0001485	.0001793	.0004253	.0000756	.0003676	.0005345	.0002528	.0004152	.0006143	.0002806	.0002135	.0004748	.000096	.0003011	.0004473	.0005864	.0008316
22	0	.0001719	.0002326	.000127	.0004069	.0005925	.0002794	.0003765	.0010629	.0001333	.0002279	.0003113	.0001668	.0005669	.000818	.0003929	.0002258	.0003341	.0001526	.0003029	.0004297	.0002134	.0004571	.0006523	.0003203	.0003501	.0005208	.0002354	.0002578	.0003591	.0001851	.0002721	.0004189	.0001767	.0003825	.0005479	.000267	.0003916	.0007924	.0001935	.0007443	.0012576	.0004405	.00047	.0007309	.0003022	.0002318	.0003756	.0001431	.0033551	.0068908	.0016321	.0010351	.0021298	.0005029	.0003014	.0006428	.0001413	.0004615	.0007176	.0002968	.0002807	.0004552	.0001732	.0001297	.000537	.0000314	.0002421	.0004355	.0001346	.0004663	.0006943	.0003132	.0004311	.0006851	.0002713	.000617	.0012106	.0003144	.000225	.0004351	.0001164	.0003432	.0006912	.0001704	.0005358	.0009691	.0002962	.0002089	.0002949	.0001479	.0002381	.0003678	.0001541	.0001857	.0004399	.0000784	.0003808	.0005521	.0002626	.00043	.0006347	.0002914	.0002211	.0004911	.0000995	.0003011	.0004473	.0005864	.0008316
23	0	.0001781	.0002403	.000132	.0004214	.0006123	.00029	.00039	.0010999	.0001382	.000236	.0003215	.0001733	.0005871	.0008453	.0004078	.0002339	.0003454	.0001584	.0003137	.000444	.0002216	.0004734	.0006741	.0003325	.0003626	.0005382	.0002444	.000267	.0003709	.0001922	.0002818	.000433	.0001834	.0003961	.0005661	.0002772	.0004056	.0008197	.0002007	.0007709	.0013003	.000457	.0004868	.0007555	.0003136	.0002401	.0003883	.0001485	.0034748	.0071275	.0016924	.0010721	.0022032	.0005215	.0003122	.000665	.0001466	.000478	.0007418	.000308	.0002908	.0004706	.0001796	.0001344	.0005559	.0000325	.0002508	.0004504	.0001397	.000483	.0007175	.0003251	.0004465	.0007083	.0002815	.0006391	.0012522	.0003261	.0002331	.00045	.0001207	.0003555	.0007151	.0001767	.0005549	.0010023	.0003072	.0002164	.0003047	.0001537	.0002466	.0003802	.00016	.0001923	.0004553	.0000812	.0003944	.0005705	.0002726	.0004454	.0006559	.0003024	.000229	.0005081	.0001032	.0003011	.0004473	.0005864	.0008316
24	0	.0001844	.0002483	.0001369	.0004364	.000633	.0003008	.0004038	.0011381	.0001432	.0002444	.0003322	.0001798	.000608	.0008737	.000423	.0002422	.0003571	.0001642	.0003248	.0004589	.0002299	.0004902	.0006967	.0003449	.0003755	.0005563	.0002534	.0002765	.0003833	.0001994	.0002918	.0004477	.0001902	.0004102	.000585	.0002876	.00042	.000848	.000208	.0007982	.0013447	.0004738	.000504	.0007811	.0003252	.0002486	.0004016	.000154	.0035978	.0073725	.001754	.0011101	.0022792	.0005405	.0003233	.000688	.0001519	.0004949	.0007669	.0003194	.0003011	.0004867	.0001863	.0001391	.0005754	.0000336	.0002597	.0004659	.0001447	.0005001	.0007417	.0003372	.0004623	.0007324	.0002919	.0006617	.0012953	.000338	.0002413	.0004655	.0001251	.0003681	.0007399	.000183	.0005746	.0010366	.0003185	.000224	.0003148	.0001594	.0002554	.0003931	.0001659	.0001991	.0004711	.0000842	.0004084	.0005896	.0002828	.0004612	.0006782	.0003136	.0002371	.0005257	.0001069	.0003011	.0004473	.0005864	.0008316
25	0	.0001908	.0002566	.0001419	.0004516	.0006545	.0003116	.0004179	.0011773	.0001483	.0002529	.0003434	.0001863	.0006292	.0009032	.0004383	.0002506	.0003692	.0001701	.0003362	.0004743	.0002382	.0005074	.0007201	.0003574	.0003886	.0005751	.0002626	.0002861	.0003962	.0002066	.000302	.0004628	.0001971	.0004245	.0006046	.0002981	.0004347	.0008771	.0002154	.0008261	.0013904	.0004908	.0005216	.0008075	.0003369	.0002573	.0004151	.0001595	.0037234	.0076243	.0018165	.0011489	.0023573	.0005597	.0003346	.0007116	.0001573	.0005122	.0007929	.0003309	.0003116	.0005032	.0001929	.000144	.0005954	.0000348	.0002688	.0004818	.0001499	.0005176	.0007667	.0003494	.0004785	.0007572	.0003024	.0006849	.0013396	.0003501	.0002498	.0004815	.0001296	.0003809	.0007655	.0001895	.0005947	.001072	.0003299	.0002319	.0003254	.0001652	.0002643	.0004064	.0001719	.0002061	.0004873	.0000871	.0004226	.0006095	.0002931	.0004773	.0007012	.0003249	.0002454	.0005437	.0001107	.0003011	.0004473	.0005864	.0008316
26	0	.0001973	.0002651	.0001469	.0004671	.0006764	.0003225	.0004322	.0012171	.0001534	.0002616	.0003549	.0001928	.0006507	.0009335	.0004537	.0002592	.0003816	.0001761	.0003477	.0004901	.0002466	.0005247	.0007442	.00037	.0004019	.0005943	.0002718	.0002959	.0004094	.0002139	.0003123	.0004784	.0002039	.000439	.0006247	.0003085	.0004496	.0009067	.0002229	.0008544	.0014371	.0005079	.0005395	.0008345	.0003487	.0002661	.0004291	.000165	.0038505	.0078809	.0018794	.0011881	.0024369	.0005791	.000346	.0007356	.0001627	.0005297	.0008194	.0003424	.0003223	.0005202	.0001996	.0001489	.0006157	.000036	.000278	.0004981	.0001551	.0005353	.0007924	.0003616	.0004949	.0007827	.0003129	.0007083	.0013847	.0003622	.0002583	.0004977	.0001341	.000394	.0007915	.0001961	.000615	.0011082	.0003413	.0002398	.0003362	.000171	.0002733	.00042	.0001779	.0002131	.0005038	.0000902	.0004371	.0006298	.0003033	.0004936	.0007248	.0003362	.0002538	.0005621	.0001146	.0003011	.0004473	.0005864	.0008316
27	0	.0002039	.0002738	.0001518	.0004826	.0006987	.0003332	.0004466	.0012572	.0001585	.0002703	.0003666	.0001993	.0006723	.0009642	.0004688	.0002678	.0003942	.0001819	.0003592	.0005062	.0002549	.0005421	.0007687	.0003824	.0004153	.0006139	.0002809	.0003057	.0004229	.000221	.0003227	.0004941	.0002107	.0004536	.0006452	.0003189	.0004645	.0009367	.0002303	.0008827	.0014844	.0005249	.0005574	.0008619	.0003604	.000275	.0004433	.0001705	.0039781	.0081401	.001942	.0012276	.0025174	.0005984	.0003575	.0007599	.0001682	.0005473	.0008464	.0003539	.000333	.0005374	.0002063	.0001539	.000636	.0000373	.0002872	.0005146	.0001603	.000553	.0008184	.0003737	.0005113	.0008085	.0003234	.0007318	.0014303	.0003743	.0002669	.0005141	.0001385	.0004071	.0008178	.0002026	.0006354	.0011447	.0003527	.0002478	.0003473	.0001767	.0002824	.0004338	.0001838	.0002202	.0005205	.0000932	.0004516	.0006505	.0003135	.00051	.0007488	.0003474	.0002622	.0005806	.0001184	.0003011	.0004473	.0005864	.0008316
28	0	.0002104	.0002826	.0001566	.000498	.0007212	.0003438	.0004608	.0012974	.0001636	.0002789	.0003784	.0002056	.0006938	.0009952	.0004837	.0002764	.0004069	.0001877	.0003707	.0005224	.000263	.0005595	.0007933	.0003945	.0004285	.0006335	.0002899	.0003155	.0004365	.000228	.000333	.00051	.0002174	.0004681	.0006658	.0003291	.0004793	.0009666	.0002376	.0009109	.0015318	.0005416	.0005752	.0008895	.0003719	.0002837	.0004575	.000176	.0041049	.0083992	.002004	.0012668	.0025979	.0006175	.0003689	.0007842	.0001736	.0005648	.0008735	.0003652	.0003436	.0005546	.0002128	.0001588	.0006564	.0000384	.0002964	.000531	.0001654	.0005707	.0008446	.0003856	.0005276	.0008344	.0003336	.0007552	.001476	.0003863	.0002754	.0005306	.000143	.0004201	.0008442	.000209	.0006557	.0011813	.0003639	.0002557	.0003584	.0001824	.0002914	.0004477	.0001897	.0002273	.0005371	.0000961	.000466	.0006713	.0003235	.0005263	.000773	.0003584	.0002706	.0005992	.0001222	.0003011	.0004473	.0005864	.0008316
29	0	.0002168	.0002914	.0001613	.0005131	.0007435	.0003541	.0004748	.0013369	.0001686	.0002874	.0003901	.0002117	.0007149	.0010259	.0004982	.0002848	.0004194	.0001934	.000382	.0005385	.0002709	.0005765	.0008178	.0004064	.0004416	.000653	.0002986	.0003251	.00045	.0002349	.0003431	.0005257	.000224	.0004824	.0006863	.000339	.0004939	.0009962	.0002449	.0009386	.0015787	.000558	.0005927	.0009168	.0003831	.0002924	.0004715	.0001813	.0042296	.0086554	.0020646	.0013053	.0026774	.0006362	.0003802	.0008081	.0001788	.000582	.0009003	.0003762	.000354	.0005717	.0002192	.0001636	.0006765	.0000396	.0003054	.0005473	.0001704	.0005881	.0008706	.0003973	.0005437	.00086	.0003437	.0007781	.0015212	.000398	.0002838	.0005469	.0001473	.0004328	.0008702	.0002153	.0006757	.0012175	.0003749	.0002635	.0003694	.0001879	.0003003	.0004615	.0001954	.0002342	.0005535	.0000991	.0004802	.000692	.0003332	.0005423	.0007969	.0003691	.0002788	.0006175	.0001259	.0003011	.0004473	.0005864	.0008316
30	0	.000223	.0003	.0001658	.0005278	.0007653	.0003641	.0004885	.0013755	.0001734	.0002956	.0004016	.0002176	.0007354	.001056	.0005122	.0002929	.0004317	.0001987	.0003929	.0005543	.0002785	.000593	.0008418	.0004178	.0004542	.000672	.000307	.0003344	.0004631	.0002415	.000353	.000541	.0002303	.0004962	.0007064	.0003486	.0005081	.0010251	.0002518	.0009656	.0016245	.0005738	.0006097	.0009435	.000394	.0003008	.0004852	.0001864	.0043507	.0089051	.0021231	.0013427	.0027549	.0006542	.0003911	.0008315	.0001839	.0005987	.0009266	.0003868	.0003642	.0005884	.0002254	.0001683	.0006959	.0000407	.0003141	.0005633	.0001752	.0006049	.000896	.0004084	.0005593	.0008851	.0003533	.0008005	.0015653	.0004092	.000292	.0005627	.0001515	.0004453	.0008956	.0002214	.000695	.0012529	.0003855	.000271	.0003803	.0001932	.0003089	.0004749	.0002009	.0002409	.0005696	.0001019	.000494	.0007122	.0003426	.0005579	.0008203	.0003794	.0002868	.0006354	.0001295	.0003011	.0004473	.0005864	.0008316
